,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
2219,9784046311894,283,新訳・ドリトル先生の郵便局,新訳・ドリトル先生と秘密の湖（,,新訳・ドリトル先生の郵便局,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ヒュー・ジョン・ロフティング,角川つばさ文庫
4906,9784046317056,284,リトルウィッチアカデミア　でたらめ魔女と妖精の国,アフリカへ,,リトルウィッチアカデミア　でたらめ魔女と妖精の国,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,橘もも,角川つばさ文庫
737,9784591169643,284,ドクター・ドリトル　アフリカへゆく,アフリカへ,,ドクター・ドリトル　アフリカへゆく,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,ヒュー・ロフティング,ポプラキミノベル　名作
1479,9784046311474,284,新訳　ドリトル先生アフリカへ行く,アフリカへ,,新訳　ドリトル先生アフリカへ行く,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ヒュー・ジョン・ロフティング,角川つばさ文庫
2436,9784001140330,285,ドリトル先生の楽しい家,ドリトル先生と秘密の湖＜新版＞（,,ドリトル先生の楽しい家,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
1845,9784001140255,285,ドリトル先生の動物園＜新版＞,ドリトル先生と秘密の湖＜新版＞（,,ドリトル先生の動物園＜新版＞,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ジョン・ロフティング,岩波少年文庫
1900,9784001140248,285,ドリトル先生のサーカス＜新版＞,ドリトル先生と秘密の湖＜新版＞（,,ドリトル先生のサーカス＜新版＞,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ジョン・ロフティング,岩波少年文庫
2384,9784001140316,285,ドリトル先生と秘密の湖＜新版＞（下）,ドリトル先生と秘密の湖＜新版＞（,,ドリトル先生と秘密の湖＜新版＞,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ジョン・ロフティング,岩波少年文庫
2410,9784001140309,285,ドリトル先生と秘密の湖＜新版＞（上）,ドリトル先生と秘密の湖＜新版＞（,,ドリトル先生と秘密の湖＜新版＞,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
1136,9784591111420,286,ドリトル先生,ドリトル先生月,,ドリトル先生,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,ヒュー・ジョン・ロフティング,ポプラポケット文庫
3502,9784002041278,286,ドリトル先生物語　全１３冊,ドリトル先生月,,ドリトル先生物語　全１３冊,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
2423,9784001140286,286,ドリトル先生月へゆく,ドリトル先生月,,ドリトル先生月へゆく,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
2429,9784001140279,286,ドリトル先生と月からの使い,ドリトル先生月,,ドリトル先生と月からの使い,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
2549,9784001140293,286,ドリトル先生月から帰る,ドリトル先生月,,ドリトル先生月から帰る,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
1466,9784001140224,286,ドリトル先生航海記,ドリトル先生月,,ドリトル先生航海記,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
1129,9784001140217,286,ドリトル先生アフリカゆき,ドリトル先生月,,ドリトル先生アフリカゆき,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ヒュー・ロフティング,岩波少年文庫
3969,9784591141212,287,魔法屋ポプル　運命のプリンセスと最強の絆,魔法屋ポプル　,,魔法屋ポプル　運命のプリンセスと最強の絆,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
