,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho,seriesnm_candidate_sublabel
423,9784410143335,化学重要問題集化学基礎・化学　実戦２０２３,,1076,19,31,21,11,書籍,学習参考書,高校学参,理科,化学,数研出版編集部,410,数研出版,43363351,化学重要問題集化学基礎・化学　実戦２０２３,,20221104,5116,,,,,,,チャート式問題集シリーズ,,,
424,9784591174975,かいけつゾロリのおやじギャグ＆なぞなぞ大じてん,,1076,16,41,5,11,書籍,児童書,読み物,読み物,かいけつゾロリシリーズ,原ゆたか,591,ポプラ社,43372095,かいけつゾロリのおやじギャグ＆なぞなぞ大じてん,,20221107,1471,単行本,,かいけつゾロリ,かいけつゾロリ,,,かいけつゾロリ,かいけつゾロリ,,
425,9784577051078,しょうぼうしょ,,1076,16,21,1,1,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,577,フレーベル館,43391890,アンパンマンのおしごとしかけえほん,アンパンマンのおしごとしかけえほん,20230203,1292,アンパンマンのおしごとしかけえほん,,,アンパンマン,アンパンマン,アンパンマン,それいけ！アンパンマン ゆびにんぎょうえほん,アンパンマンおままごとえほん,アンパンマンのおはなしたんけん,アンパンマンのおはなしたんけん
426,9784813780724,この恋は、ぜったいヒミツ。,３,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,このはなさくら,8137,スターツ出版,43205112,この恋は、ぜったいヒミツ。,野いちごジュニア文庫,20221118,1579,,,この恋は、ぜったいヒミツ。,,,,この恋は、ぜったいヒミツ。,,,
427,9784065311035,ひろがるスカイ！プリキュア　へんしんシールえほん,,1076,16,35,1,11,書籍,児童書,絵本塔,絵本塔,講談社,東映アニメーション,6,講談社,43393231,ひろがるスカイ！プリキュア　へんしんシールえほん,おともだちムック,20230206,4356,,,プリキュア,,おともだちムック,,プリキュア,講談社アニメ絵本,おともだちムック,
428,9784083217463,相方なんかになりません！　転校生はなにわのお笑い男子！？,,1076,16,55,1,18,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,遠山彼方,8,集英社,43366737,相方なんかになりません！　転校生はなにわのお笑い男子！？,集英社みらい文庫,20221028,1618,,,,,,,ウソカレ！？,通学シリーズ みらい文庫版,通学シリーズ みらい文庫版,
429,9784046321855,サキヨミ！　恋と決意の文化祭,７,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,七海まち,4,ＫＡＤＯＫＡＷＡ,43182126,サキヨミ！,角川つばさ文庫,20221013,3590,,,サキヨミ！,,,,サキヨミ！,角川まんが学習シリーズ,角川まんが学習シリーズ,
430,9784092812543,ひらめきゲット！　Ｌｅｔ’ｓ　ポケなぞ！！,２,1076,16,21,1,65,書籍,児童書,キャラクター絵本,キャラクター絵本,コロタン文庫,松丸亮吾,9,小学館,43336499,ひらめきゲット！　Ｌｅｔ’ｓ　ポケなぞ！！,コロタン文庫　ポケットモンスター,20230222,3318,コロタン文庫,,,コロタン文庫,ポケットモンスター,コロタン文庫,アンパンマン_ひらめき★シールえほん,コロタン文庫,ポケットモンスター_翻訳創作絵本シリーズ,コロタン文庫
431,9784478116562,小学生がたった１日で１９×１９までかんぺきに暗算できる本,,1076,19,11,5,1,書籍,学習参考書,小学学参,基礎学習,基礎学習参考書,小杉拓也,478,ダイヤモンド社,43373276,小学生がたった１日で１９×１９までかんぺきに暗算できる本,,20221208,73949,,,,,,,,,,
432,9784041129081,パンどろぼうほかほかギフトボックス絵本３冊＋メッセージカード（全３冊セット）,,1076,16,7,1,97,書籍,児童書,絵本,国内絵本,３才〜国内絵本,柴田ケイコ,4,ＫＡＤＯＫＡＷＡ,43368305,パンどろぼうほかほかギフトボックス絵本３冊＋メッセージカード（全３冊セット）,,20221109,4018,,,パンどろぼう,,,,パンどろぼう,ディズニー_角川アニメ絵本,,
