,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM,seriesnm_candidate
23,9784052056727,最強王キャラ図鑑,,1076,16,61,1,91,書籍,児童書,実用百科,実用百科,その他実用百科,国際最強王図鑑協会,5,学研プラス,43375608.0,最強王キャラ図鑑,最強王図鑑シリーズ,20221222,17170,最強王図鑑シリーズ,
24,9784092592100,ドラえもん科学ワールドｓｐｅｃｉａｌ　みんなのためのデジタル入門,,1076,16,71,1,21,書籍,児童書,学習百科,学習百科,ドラえもんの学習シリ－ズ,藤子・Ｆ・不二雄,9,小学館,43363325.0,ドラえもん科学ワールドｓｐｅｃｉａｌ　みんなのためのデジタル入門,ビッグ・コロタン,20221116,5840,ビッグコロタン,
25,9784097504368,てれびくん超ひゃっかシリーズ　ウルトラマンデッカー　デッカー＆ヒーローバトルずかん,,1076,16,21,1,41,書籍,児童書,キャラクター絵本,キャラクター絵本,ヒーロー,間宮尚彦,9,小学館,43378663.0,てれびくん超ひゃっかシリーズ　ウルトラマンデッカー　デッカー＆ヒーローバトルずかん,超ひゃっか,20221116,1345,超ひゃっか,
26,9784198655471,スタジオジブリのヒロインがいっぱい,,1076,16,21,1,35,書籍,児童書,キャラクター絵本,キャラクター絵本,ジブリ,スタジオジブリ,19,徳間書店,43359658.0,スタジオジブリのヒロインがいっぱい,徳間アニメ絵本ミニ,20221015,1165,ジブリ,
27,9784092592094,ドラえもん探究ワールド　本の歴史と未来,,1076,16,71,1,21,書籍,児童書,学習百科,学習百科,ドラえもんの学習シリ－ズ,藤子・Ｆ・不二雄,9,小学館,43370509.0,ドラえもん探究ワールド　本の歴史と未来,ビッグ・コロタン,20221116,2865,ビッグコロタン,
28,9784041126554,どっちが強い！？Ａ　無人島でロボバトル！,２,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,レッドコード,4,ＫＡＤＯＫＡＷＡ,43369333.0,どっちが強い！？Ａ,,20221116,2794,どっちが強い！？シリーズ,
29,9784041126547,どっちが強い！？Ａ　ロボットで入学試験！？,１,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,スライウム,4,ＫＡＤＯＫＡＷＡ,43369333.0,どっちが強い！？Ａ,,20221116,3393,どっちが強い！？シリーズ,
30,9784791631889,ミラクルハピネス　心理テスト１４１２,,1076,16,61,1,21,書籍,児童書,実用百科,実用百科,心理ゲーム・占い,ミラクル心理研究会,7916,西東社,43368800.0,ミラクルハピネス　心理テスト１４１２,,20221015,1953,,
31,9784791631926,ミラクルハピネス　誕生日＆うらない大全,,1076,16,61,1,21,書籍,児童書,実用百科,実用百科,心理ゲーム・占い,ルナ・アヴニール,7916,西東社,43370161.0,ミラクルハピネス　誕生日＆うらない大全,,20221015,1880,,
32,9784522803424,じゃがりこバスボール　りんごのかおり,,1076,16,91,1,91,書籍,児童書,グッズ,グッズ,その他グッズ,,522,永岡書店,43376318.0,じゃがりこバスボール　りんごのかおり,,20221110,5856,,
33,9784522803431,たべっ子どうぶつバスボール　りんごのかおり,１,1076,16,91,1,91,書籍,児童書,グッズ,グッズ,その他グッズ,,522,永岡書店,43376252.0,たべっ子どうぶつバスボール　りんごのかおり,,20221110,4280,,
34,9784522440513,おしえて　おしえて　かわいいの　だぁれ？　こころをはぐくむ　ふれあいえほん,,1076,16,11,2,1,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,うらつかりょうま,522,永岡書店,43380013.0,おしえて　おしえて　かわいいの　だぁれ？　こころをはぐくむ　ふれあいえほん,,20221212,1647,,
35,9784074531738,ゆめみる　おひめさま図鑑,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,たけいみき,7,主婦の友社,43380010.0,ゆめみる　おひめさま図鑑,,20221208,1286,,
36,9784801933798,マインクラフト３つの試練,,1076,16,41,5,15,書籍,児童書,読み物,読み物,中学年読み物,スイー・デイヴィース,8019,竹書房,43366428.0,マインクラフト３つの試練,,20221216,2375,,
37,9784522803493,最恐！　危険生物かるた　超危険な生物のなまえで　ひらがなとカタカナをおぼえよう！,,1076,16,91,1,5,書籍,児童書,グッズ,グッズ,かるた,岩崎政志,522,永岡書店,43373845.0,最恐！　危険生物かるた　超危険な生物のなまえで　ひらがなとカタカナをおぼえよう！,,20221110,1039,,
38,9784074523115,いきもののふしぎはっけん！３６６クイズ,,1076,16,71,1,407,書籍,児童書,学習百科,学習百科,理科　動物,主婦の友社,7,主婦の友社,43377197.0,いきもののふしぎはっけん！３６６クイズ,頭のいい子を育てる,20221117,1300,頭のいい子を育てる,
39,9784774738604,とびだす！かわいい！どうぶつピアノ,,1076,16,15,1,1,書籍,児童書,しかけ絵本,しかけ絵本,音のでる絵本,,7747,コスミック出版,43383715.0,とびだす！かわいい！どうぶつピアノ,［バラエティ］,20221216,1157,,
40,9784651202686,歴史バトル図鑑　最強！戦国武将決定戦,,1076,16,71,1,47,書籍,児童書,学習百科,学習百科,歴史（読みもの）,小和田哲男,651,ＯＮＥ　ＰＵＢＬＩＳＨＩＮＧ,43372104.0,歴史バトル図鑑　最強！戦国武将決定戦,,20221117,1543,,
41,9784074535231,ＢＴ２１　まちがいをさがせ！,,1076,16,7,4,1,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,ＬＩＮＥＦｒｉｅｎｄｓＪａｐａｎ,7,主婦の友社,43384708.0,ＢＴ２１　まちがいをさがせ！,,20221212,1531,,
42,9784415332178,でんしゃずかん,,1076,16,11,3,1,書籍,児童書,幼児絵本,知育絵本,知育絵本,成美堂出版編集部,415,成美堂出版,43378669.0,でんしゃずかん,じぶんでよめる,20221110,2263,じぶんでよめる,
43,9784415332161,のりものずかん,,1076,16,11,3,1,書籍,児童書,幼児絵本,知育絵本,知育絵本,成美堂出版編集部,415,成美堂出版,43378668.0,のりものずかん,じぶんでよめる,20221110,2346,じぶんでよめる,
44,9784415331942,音と光のでる絵本　スイッチくるくる,,1076,16,15,1,1,書籍,児童書,しかけ絵本,しかけ絵本,音のでる絵本,かしわらあきお,415,成美堂出版,43376866.0,音と光のでる絵本　スイッチくるくる,［バラエティ］,20221102,3924,,
45,9784774622767,れいぞうこのそこのそこ　りんごのまほう,,1076,16,7,1,97,書籍,児童書,絵本,国内絵本,３才～国内絵本,うえだしげこ,7746,教育画劇,43359665.0,れいぞうこのそこのそこ　りんごのまほう,れいぞうこのあるあるえほん,20221006,1296,れいぞうこのあるあるえほん,
46,9784757568204,絵本　おじさまと猫　ふくまるとしあわせの宇宙船,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,桜井海,7575,スクウェア・エニックス,43175894.0,絵本　おじさまと猫　ふくまるとしあわせの宇宙船,,20221111,1836,,
47,9784265081899,いつつごうさぎとゆきのもり,,1076,16,7,1,97,書籍,児童書,絵本,国内絵本,３才～国内絵本,まつおりかこ,265,岩崎書店,43377202.0,いつつごうさぎとゆきのもり,,20221207,8881,,
