JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784813780052,総長さま、溺愛中につき。　転校先は、最強男子だらけ,１,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
9784569789637,青鬼　沈黙の映画館－シアター－,,青鬼　沈黙の映画館－シアター－,児童書,児童文庫,児童文庫,その他児童文庫,ＰＨＰ研究所,黒田研二,ＰＨＰジュニアノベル
9784813780113,総長さま、溺愛中につき。　生徒会加入は波乱の幕開け,２,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
9784813780199,総長さま、溺愛中につき。　クールな総長の甘い告白,３,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
9784569789262,青鬼　怪魚のねむる水族館,,青鬼　怪魚のねむる水族館,児童書,児童文庫,児童文庫,その他児童文庫,ＰＨＰ研究所,黒田研二,ＰＨＰジュニアノベル
9784569787442,青鬼　ジェイルハウスの怪物,,青鬼　ジェイルハウスの怪物,児童書,児童文庫,児童文庫,その他児童文庫,ＰＨＰ研究所,黒田研二,ＰＨＰジュニアノベル
9784865540970,ポケモン空想科学読本,１,ポケモン空想科学読本,児童書,児童文庫,児童文庫,その他児童文庫,オーバーラップ,柳田理科雄,
9784569880051,青鬼　図書館の透明人間,,青鬼　図書館の透明人間,児童書,児童文庫,児童文庫,その他児童文庫,ＰＨＰ研究所,黒田研二,ＰＨＰジュニアノベル
9784569789026,青鬼　ゾンビだらけの遊園地,,青鬼　ゾンビだらけの遊園地,児童書,児童文庫,児童文庫,その他児童文庫,ＰＨＰ研究所,黒田研二,ＰＨＰジュニアノベル
9784813780298,総長さま、溺愛中につき。　暴走レベルの危険な独占欲,４,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
9784813780014,今日、キミに告白します　４つの恋の短編集,,今日、キミに告白します,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,アンソロジー,野いちごジュニア文庫
9784065117187,小説　はたらく細胞,,小説　はたらく細胞,児童書,児童文庫,児童文庫,その他児童文庫,講談社,時海結以,講談社ＫＫ文庫
