,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
92,9784046318794,262,本当はこわい話　意味がわかるとゾッとする,本当はこわい話　,３,本当はこわい話,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,小林丸々,角川つばさ文庫
87,9784046319951,262,本当はこわい話　真実に挑む者,本当はこわい話　,５,本当はこわい話,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,小林丸々,角川つばさ文庫
115,9784046318787,262,本当はこわい話　だましたはずが、だまされる,本当はこわい話　,４,本当はこわい話,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,小林丸々,角川つばさ文庫
79,9784046318442,262,本当はこわい話　君はもう、だまされている,本当はこわい話　,２,本当はこわい話,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,小林丸々,角川つばさ文庫
50,9784046317834,262,本当はこわい話　かくされた真実、君は気づける？,本当はこわい話　,,本当はこわい話,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,小林丸々,角川つばさ文庫
822,9784046313690,263,この船、地獄行き,こ,,この船、地獄行き,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,山中恒,角川つばさ文庫
816,9784046311146,263,なおこ、宇宙飛行士になる,こ,,なおこ、宇宙飛行士になる,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,山崎直子,角川つばさ文庫
503,9784046318619,264,ねことじいちゃん＜映画版＞,ねこ,,ねことじいちゃん＜映画版＞,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,坪田文,角川つばさ文庫
751,9784046312044,264,図書館ねこデューイ＜ジュニア版＞　町をしあわせにした、はたらくねこの物語,ねこ,,図書館ねこデューイ＜ジュニア版＞　町をしあわせにした、はたらくねこの物語,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ヴィッキー・マイロン,角川つばさ文庫
193,9784046314765,265,いみちぇん！　ピンチ！矢神くんのライバル登場！,いみちぇん！　絶,２,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
235,9784046316073,265,いみちぇん！　絶対無敵のきずな,いみちぇん！　絶,６,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
223,9784046315175,265,いみちぇん！　五年二組のキケンなうわさ,いみちぇん！　絶,４,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
48,9784046319944,265,いみちぇん！　永遠のきずな,いみちぇん！　絶,１９,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
238,9784046317773,265,いみちぇん！　探せ、思い出のカケラ,いみちぇん！　絶,１１,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
184,9784046319784,265,いみちぇん！　絶体絶命！さいごの試練,いみちぇん！　絶,１７,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
225,9784046318718,265,いみちぇん！　いざ、ミコトバの里へ！,いみちぇん！　絶,１５,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
320,9784046317971,265,いみちぇん！×１％　１日かぎりの最強コンビ,いみちぇん！　絶,,いみちぇん！×１％　１日かぎりの最強コンビ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
161,9784046314307,265,いみちぇん！　今日からひみつの二人組,いみちぇん！　絶,１,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
206,9784046319555,266,いみちぇん！　失いたくない、大切なヒト,いみちぇん！　,１６,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
213,9784046315168,266,いみちぇん！　ねらわれた主さま,いみちぇん！　,３,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
256,9784046317391,266,いみちぇん！　がけっぷち！　奪われた友情,いみちぇん！　,１０,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
244,9784046316080,266,いみちぇん！　新たなる敵、あらわる！,いみちぇん！　,７,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
230,9784046315670,267,いみちぇん！　ウソ？ホント？まぼろしの札,いみちぇん！　,５,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
163,9784046319791,267,いみちぇん！　心ひとつに、希望をつなげ！,いみちぇん！　,１８,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
258,9784046318121,267,いみちぇん！　嵐を呼ぶ少女、来る！,いみちぇん！　,１２,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
243,9784046318701,267,いみちぇん！　パートナー再決定戦、開幕！？,いみちぇん！　,１４,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
257,9784046316837,267,いみちぇん！　サマーキャンプにひそむ罠,いみちぇん！　,９,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
253,9784046318138,267,いみちぇん！　ゆれるキモチと修学旅行,いみちぇん！　,１３,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
251,9784046316820,267,いみちぇん！　消えたパートナー,いみちぇん！　,８,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
152,9784046319128,268,星にねがいを！　ナイショの契約、むすばれちゃった！？,星にねがいを！　,１,星にねがいを！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
156,9784046320223,268,星にねがいを！　とどけ！負けられない想い,星にねがいを！　,４,星にねがいを！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
189,9784046320629,268,星にねがいを！　願いよかがやけ！さいごの選択,星にねがいを！　,６,星にねがいを！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
