,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
353,9784065250303,41,ディズニーランド防衛部　チェルナボーグの獲物,ディズニーランド防衛部　マレフィセント,３,ディズニーランド防衛部,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,リドリー・ピアソン,講談社青い鳥文庫
256,9784065229057,41,ディズニーランド防衛部　マレフィセントの復讐,ディズニーランド防衛部　マレフィセント,２,ディズニーランド防衛部,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,リドリー・ピアソン,講談社青い鳥文庫
628,9784065284742,42,放課後ネームゲーム　ゴーストネームタウンからの脱出,放課後ネームゲーム,,放課後ネームゲーム　ゴーストネームタウンからの脱出,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,百舌涼一,
234,9784065261200,42,放課後ネームゲーム,放課後ネームゲーム,,放課後ネームゲーム,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,百舌涼一,
854,9784062855495,43,放課後おばけ・ストリート　雪女が通る！,,,放課後おばけ・ストリート　雪女が通る！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,桜木日向,講談社青い鳥文庫
209,9784065210796,44,恋する週末ホームステイ　君は明日、いないかもしれないから,,,恋する週末ホームステイ　君は明日、いないかもしれないから,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,講談社,講談社青い鳥文庫
731,9784061487024,45,ステップファザー・ステップ,,,ステップファザー・ステップ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,宮部みゆき,講談社青い鳥文庫
617,9784062851619,46,マザー・テレサ,,,マザー・テレサ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,沖守弘,講談社青い鳥文庫
418,9784065239698,47,ハックルベリー・フィンの冒険（下）,ハックルベリー・フィンの冒険（,,ハックルベリー・フィンの冒険,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,マーク・トウェイン,講談社青い鳥文庫
343,9784065235584,47,ハックルベリー・フィンの冒険（上）,ハックルベリー・フィンの冒険（,,ハックルベリー・フィンの冒険,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,マーク・トウェイン,講談社青い鳥文庫
321,9784062852869,48,トム・ソーヤーの冒険,ト,,トム・ソーヤーの冒険,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,マーク・トウェイン,講談社青い鳥文庫
531,9784062856065,48,ウォルト・ディズニー伝記　ミッキーマウス、ディズニーランドを創った男,ト,,ウォルト・ディズニー伝記　ミッキーマウス、ディズニーランドを創った男,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,ビル・スコロン,講談社青い鳥文庫
686,9784062855860,49,ポレポレ日記－ダイアリー－　わたしの居場所,ポレポレ日記－ダイアリー－　,,ポレポレ日記－ダイアリー－　わたしの居場所,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
825,9784062855334,49,ポレポレ日記－ダイアリー－　友だちごっこ,ポレポレ日記－ダイアリー－　,,ポレポレ日記－ダイアリー－　友だちごっこ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
886,9784062855501,49,ポレポレ日記－ダイアリー－　それでも大好き,ポレポレ日記－ダイアリー－　,,ポレポレ日記－ダイアリー－　それでも大好き,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
832,9784062855129,49,ポレポレ日記－ダイアリー－　いざ、流星学園へ！,ポレポレ日記－ダイアリー－　,,ポレポレ日記－ダイアリー－　いざ、流星学園へ！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
