JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM
9784046057129,にゃんこ大戦争でまなぶ！難しい言葉１０００,,1076,16,0071,0001,0003,書籍,児童書,学習百科,学習百科,国語,ＰＯＮＯＳ,0000004,ＫＡＤＯＫＡＷＡ,43367727,にゃんこ大戦争でまなぶ！難しい言葉１０００,,20221118,2595,
9784046321657,君のとなりで。　この道を、ずっといっしょに,９,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,高杉六花,0000004,ＫＡＤＯＫＡＷＡ,43090241,君のとなりで。,角川つばさ文庫,20221013,2105,
9784046321855,サキヨミ！　恋と決意の文化祭,７,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,七海まち,0000004,ＫＡＤＯＫＡＷＡ,43182126,サキヨミ！,角川つばさ文庫,20221013,3134,
9784046321831,ぜったいバレちゃいけません！！！　ハッピーエンドはゆずれない！,６,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,水無仙丸,0000004,ＫＡＤＯＫＡＷＡ,43210129,ぜったいバレちゃいけません！！！,角川つばさ文庫,20221013,1351,
9784046321886,理花のおかしな実験室　ふくらむナゾの答えをさがせ！,７,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,やまもとふみ,0000004,ＫＡＤＯＫＡＷＡ,43189443,理花のおかしな実験室,角川つばさ文庫,20221013,2236,
9784569880921,青鬼　調査クラブ　怪物を従えた少女と激突せよ！,７,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,波摘,0000569,ＰＨＰ研究所,43113004,青鬼　調査クラブ,ＰＨＰジュニアノベル,20230126,1040,
9784834086805,どきどきキッチンサーカス,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,石津ちひろ,0008340,福音館書店,43358279,どきどきキッチンサーカス,幼児絵本シリーズ,20221007,1007,
9784041129791,角川まんが学習シリーズ日本の歴史５大特典つき全１６巻＋別巻４冊セット（全２０巻セ,,1076,16,0071,0005,0001,書籍,児童書,学習百科,学習漫画,日本の歴史,山本博文,0000004,ＫＡＤＯＫＡＷＡ,43370508,角川まんが学習シリーズ日本の歴史５大特典つき全１６巻＋別巻４冊セット（全２０巻セ,,20221110,1168,
9784097251903,ピタゴラじゃんけん装置ＱＲブック　ゴラの巻,,1076,16,0061,0001,0061,書籍,児童書,実用百科,実用百科,工作,ＮＨＫエデュケーショナル,0000009,小学館,43374264,ピタゴラじゃんけん装置ＱＲブック　ゴラの巻,ピタゴラＢＯＯＫ,20221026,2077,ピタゴラＢＯＯＫ
9784097252078,かぼちゃスープのおふろ,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,柴田ケイコ,0000009,小学館,43379656,かぼちゃスープのおふろ,,20221118,1453,
9784041127742,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦,,1076,16,0071,0005,0031,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,ブラックインクチーム,0000004,ＫＡＤＯＫＡＷＡ,43369402,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦,角川まんが学習シリーズ,20221130,8694,どっちが強い！？シリーズ
9784577051191,アンパンマンおままごとえほん　おべんとう,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43379325,アンパンマンおままごとえほん　おべんとう,,20221216,1318,アンパンマンおままごとえほん
9784865492859,おせちのみんなあつまって！,,1076,16,0011,0003,0005,書籍,児童書,幼児絵本,知育絵本,たべもの絵本,真珠まりこ,0086549,ひさかたチャイルド,43367256,おせちのみんなあつまって！,,20221114,1834,
9784091066275,ピカチュウとあそぼ！　ピカチュウのだいぼうけん　ポケモンおはなし＆おあそびブック,,1076,16,0035,0001,0001,書籍,児童書,絵本塔,絵本塔,小学館,よしのえみこ,0000009,小学館,43372077,ピカチュウとあそぼ！　ピカチュウのだいぼうけん　ポケモンおはなし＆おあそびブック,ワンダーライフスペシャル,20221024,1514,ワンダーライフスペシャル
9784092314405,華麗なる探偵アリス＆ペンギン　キャッツ・イン・ザ・スカイ,,1076,16,0055,0001,0019,書籍,児童書,児童文庫,児童文庫,小学館ジュニア文庫,南房秀久,0000009,小学館,43381820,華麗なる探偵アリス＆ペンギン　キャッツ・イン・ザ・スカイ,小学館ジュニア文庫,20221125,1137,
9784591174814,小説　魔入りました！入間くん　アクドルくろむちゃんとアメリの決断,４,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,針とら,0000591,ポプラ社,43264725,小説　魔入りました！入間くん,ポプラキミノベル,20221005,3465,
9784591175262,グレッグのダメ日記　なんだって、やってやる！,,1076,16,0041,0005,0017,書籍,児童書,読み物,読み物,グレッグのダメ日記シリーズ,ジェフ・キニー,0000591,ポプラ社,43377481,グレッグのダメ日記　なんだって、やってやる！,,20221124,2726,
9784591175118,新装版　どうぶつえあわせ　ぴったりカード,,1076,16,0091,0001,0003,書籍,児童書,グッズ,グッズ,知育カード,わらべきみか,0000591,ポプラ社,43365878,新装版　どうぶつえあわせ　ぴったりカード,,20221005,1079,
9784591175125,新装版　のりものえあわせ　ぴったりカード,,1076,16,0091,0001,0003,書籍,児童書,グッズ,グッズ,知育カード,わらべきみか,0000591,ポプラ社,43365879,新装版　のりものえあわせ　ぴったりカード,,20221005,1011,
9784591175194,あおい１ばんのきかんしゃ　トーマスどーこだ？,,1076,16,0021,0001,0011,書籍,児童書,キャラクター絵本,キャラクター絵本,トーマス,,0000591,ポプラ社,43374278,あおい１ばんのきかんしゃ　トーマスどーこだ？,きかんしゃトーマスの本,20221109,1100,きかんしゃトーマスの本
9784097355984,星のカービィ　ディスカバリー　ほおばれ！シールブック,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ワープスター,0000009,小学館,43372078,星のカービィ　ディスカバリー　ほおばれ！シールブック,まるごとシールブックＤＸ,20221026,2461,まるごとシールブックＤＸ
9784813780779,溺愛×ミッション！（１）　エリート学園の超モテスパイ男子たちに溺愛されちゃってます！,１,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,青山そらら,0008137,スターツ出版,43379193,溺愛×ミッション！（１）　エリート学園の超モテスパイ男子たちに溺愛されちゃってます！,野いちごジュニア文庫,20221220,1329,
9784487815340,小学生のうちに覚えておくといいことカルタ,,1076,16,0091,0001,0005,書籍,児童書,グッズ,グッズ,かるた,東京書籍出版事業部,0000487,東京書籍,43375231,小学生のうちに覚えておくといいことカルタ,［バラエティ］,20221208,1041,
9784813522942,追放Ｖｅｒ　Ａｍｏｎｇ　Ｕｓ　フィギュアキーチェーン,,1076,16,0091,0001,0091,書籍,児童書,グッズ,グッズ,その他グッズ,,0008135,デアゴスティーニジャパン,43375237,追放Ｖｅｒ　Ａｍｏｎｇ　Ｕｓ　フィギュアキーチェーン,［バラエティ］,20221028,73210,
9784591174975,かいけつゾロリのおやじギャグ＆なぞなぞ大じてん,,1076,16,0041,0005,0011,書籍,児童書,読み物,読み物,かいけつゾロリシリーズ,原ゆたか,0000591,ポプラ社,43372095,かいけつゾロリのおやじギャグ＆なぞなぞ大じてん,,20221107,1142,
9784065299081,ＴＶアニメブルーロッククリアファイルブック,,1076,16,0091,0001,0092,書籍,児童書,グッズ,グッズ,キャラクターグッズ,講談社,0000006,講談社,43379649,ＴＶアニメブルーロッククリアファイルブック,［バラエティ］,20221220,3929,
9784591175422,なにかな？　まる　あかまるの　かたちえほん,,1076,16,0011,0003,0001,書籍,児童書,幼児絵本,知育絵本,知育絵本,しみずだいすけ,0000591,ポプラ社,43372099,なにかな？　まる　あかまるの　かたちえほん,０歳からのあかちゃんえほん,20221104,1095,０歳からのあかちゃんえほん
9784756253842,きみも運転手になれる！　パノラマずかん　運転席,,1076,16,0015,0001,0021,書籍,児童書,しかけ絵本,しかけ絵本,しかけ絵本,宮本えつよし,0007562,パイインターナショナル,43365386,きみも運転手になれる！　パノラマずかん　運転席,,20221124,1018,
9784592763147,いちごサンタ,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,わたなべあや,0000592,白泉社,43368307,いちごサンタ,コドモエの本,20221101,1529,コドモエの本
9784092989313,小学館版学習まんが日本の歴史（全２０巻セット）,,1076,16,0071,0005,0001,書籍,児童書,学習百科,学習漫画,日本の歴史,小学館,0000009,小学館,43351790,小学館版学習まんが日本の歴史（全２０巻セット）,小学館学習まんがシリーズ,20221201,2107,小学館学習まんがシリーズ
9784791631438,頂上決戦！異種最強生物　オールスター大決戦,,1076,16,0061,0001,0091,書籍,児童書,実用百科,実用百科,その他実用百科,ＣｒｅａｔｕｒｅＳｔｏｒｙ,0007916,西東社,43378398,頂上決戦！異種最強生物　オールスター大決戦,,20221220,2644,
9784791632008,ゆめがひろがるおんなのこのでんきえほん　全２２話,,1076,16,0007,0001,0021,書籍,児童書,絵本,国内絵本,国内の名作絵本,堀米薫,0007916,西東社,43374714,ゆめがひろがるおんなのこのでんきえほん　全２２話,,20221107,1900,
9784065304358,全仮面ライダー　パーフェクト大図鑑　増補改訂,,1076,16,0035,0001,0011,書籍,児童書,絵本塔,絵本塔,講談社,,0000006,講談社,43374260,全仮面ライダー　パーフェクト大図鑑　増補改訂,講談社ＭＯＯＫ　テレビマガジンデラックス　２５２,20221223,1218,講談社ＭＯＯＫ　テレビマガジンデラックス　２５２
9784591175200,ウルトラマン大図鑑ハイパー,,1076,16,0021,0001,0041,書籍,児童書,キャラクター絵本,キャラクター絵本,ヒーロー,円谷プロダクション,0000591,ポプラ社,43376319,ウルトラマン大図鑑ハイパー,,20221122,2616,ウルトラマン
9784813522935,くじら＆Ｃｏ．ビッグ,,1076,16,0091,0001,0091,書籍,児童書,グッズ,グッズ,その他グッズ,,0008135,デアゴスティーニジャパン,43381857,くじら＆Ｃｏ．ビッグ,［バラエティ］,20221129,133888,
9784592763161,ノラネコぐんだん　うみのたび,,1076,16,0007,0001,0201,書籍,児童書,絵本,国内絵本,ノラネコぐんだん,工藤ノリコ,0000592,白泉社,43368308,ノラネコぐんだん　うみのたび,コドモエのえほん,20221104,25508,ノラネコぐんだん
9784046321909,すずめの戸締まり,,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,新海誠,0000004,ＫＡＤＯＫＡＷＡ,43351498,すずめの戸締まり,角川つばさ文庫,20221013,44236,
9784791631513,大迫力！戦慄の都市伝説大百科,,1076,16,0061,0001,0091,書籍,児童書,実用百科,実用百科,その他実用百科,朝里樹,0007916,西東社,43374282,大迫力！戦慄の都市伝説大百科,,20221115,3253,
9784592763123,おすしがふくをかいにきた,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,田中達也,0000592,白泉社,43357122,おすしがふくをかいにきた,ＭＯＥのえほん,20221003,5500,ＭＯＥのえほん
9784813780700,ウタイテ！,３,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,＊あいら＊,0008137,スターツ出版,43313006,ウタイテ！,野いちごジュニア文庫,20221118,5895,
9784813780724,この恋は、ぜったいヒミツ。,３,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,このはなさくら,0008137,スターツ出版,43205112,この恋は、ぜったいヒミツ。,野いちごジュニア文庫,20221118,1221,
9784591175026,歴史ゴーストバスターズ　歴女失格！？　お泊まり会で大波乱の夏休み！,４,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,あさばみゆき,0000591,ポプラ社,43250741,歴史ゴーストバスターズ,ポプラキミノベル　創作,20221013,2333,
9784591175149,おしりたんてい　ププッ　かいていいせきのぼうけん　アニメコミック,１３,1076,16,0041,0005,0007,書籍,児童書,読み物,読み物,おしりたんていシリーズ,トロル,0000591,ポプラ社,43109435,おしりたんてい　アニメコミック,,20221013,4576,
9784591175002,黒田長政　戦国人物伝　日本の歴史＜コミック版＞８３,,1076,16,0071,0005,0041,書籍,児童書,学習百科,学習漫画,偉人・伝記（漫画）,加来耕三,0000591,ポプラ社,43367771,黒田長政　戦国人物伝　日本の歴史＜コミック版＞８３,,20221013,1027,コミック版　日本の歴史
9784591174951,ディズニープリンセスのひみつ１００,,1076,16,0021,0001,0005,書籍,児童書,キャラクター絵本,キャラクター絵本,ディズニー,,0000591,ポプラ社,43367769,ディズニープリンセスのひみつ１００,,20221013,1874,ディズニー
9784813780786,ヴァンパイア・溺愛パラダイス,５,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,碧井こなつ,0008137,スターツ出版,43270868,ヴァンパイア・溺愛パラダイス,野いちごジュニア文庫,20230120,1205,
9784591176061,おしりたんてい　ププッ　でんせつのかたなをまもれ　アニメコミック,１４,1076,16,0041,0005,0007,書籍,児童書,読み物,読み物,おしりたんていシリーズ,トロル,0000591,ポプラ社,43109435,おしりたんてい　アニメコミック,,20230118,1706,
