JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784591175644,きかんしゃトーマス　キャラクターずかん,,1076,16,0021,0001,0055,書籍,児童書,キャラクター絵本,キャラクター絵本,超ひみつゲット,ｍｉｏ,0000591,ポプラ社,43380017,きかんしゃトーマス　キャラクターずかん,超ひみつゲット！,20221207,3227,超ひみつゲット！,超ひみつゲット
9784577051191,アンパンマンおままごとえほん　おべんとう,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43379325,アンパンマンおままごとえほん　おべんとう,,20221216,1462,アンパンマンおままごとえほん,アンパンマンおままごとえほん
9784592763161,ノラネコぐんだん　うみのたび,,1076,16,0007,0001,0201,書籍,児童書,絵本,国内絵本,ノラネコぐんだん,工藤ノリコ,0000592,白泉社,43368308,ノラネコぐんだん　うみのたび,コドモエのえほん,20221104,26177,,ノラネコぐんだん
9784593103782,クリスマスプレゼントなぁに？,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,フフフーン,0000593,ほるぷ出版,43357128,クリスマスプレゼントなぁに？,めくって　たのしい　しかけえほん,20221011,1726,めくって たのしい しかけえほん,めくって　たのしい　しかけえほん
9784577050705,ＰＵＩ　ＰＵＩ　モルカー　を　さがせ！,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,フレーベル館,0000577,フレーベル館,43370954,ＰＵＩ　ＰＵＩ　モルカー　を　さがせ！,,20221124,2114,PUI PUI モルカー,ＰＵＩ　ＰＵＩ　モルカー
9784577051061,ブンブーン！バイキンメカ,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43376238,ブンブーン！バイキンメカ,［バラエティ］　アンパンマンタイヤえほん,20221021,1123,アンパンマンタイヤえほん,アンパンマンタイヤえほん
9784591175200,ウルトラマン大図鑑ハイパー,,1076,16,0021,0001,0041,書籍,児童書,キャラクター絵本,キャラクター絵本,ヒーロー,円谷プロダクション,0000591,ポプラ社,43376319,ウルトラマン大図鑑ハイパー,,20221122,2825,単行本,ウルトラマン
9784591175651,トミカコレクション　２０２３,,1076,16,0021,0001,0055,書籍,児童書,キャラクター絵本,キャラクター絵本,超ひみつゲット,タカラトミー,0000591,ポプラ社,43380018,トミカコレクション　２０２３,超ひみつゲット！,20221207,3702,超ひみつゲット！,超ひみつゲット
9784592763123,おすしがふくをかいにきた,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,田中達也,0000592,白泉社,43357122,おすしがふくをかいにきた,ＭＯＥのえほん,20221003,5809,,ＭＯＥのえほん
9784592763147,いちごサンタ,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,わたなべあや,0000592,白泉社,43368307,いちごサンタ,コドモエの本,20221101,1529,,コドモエの本
9784591175422,なにかな？　まる　あかまるの　かたちえほん,,1076,16,0011,0003,0001,書籍,児童書,幼児絵本,知育絵本,知育絵本,しみずだいすけ,0000591,ポプラ社,43372099,なにかな？　まる　あかまるの　かたちえほん,０歳からのあかちゃんえほん,20221104,1159,０歳からのあかちゃんえほん,０歳からのあかちゃんえほん
9784591175668,プラレールコレクション　２０２３,,1076,16,0021,0001,0055,書籍,児童書,キャラクター絵本,キャラクター絵本,超ひみつゲット,タカラトミー,0000591,ポプラ社,43380019,プラレールコレクション　２０２３,超ひみつゲット！,20221207,2109,超ひみつゲット！,超ひみつゲット
9784577051054,ゴーゴー！アンパンマンごう,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43365400,アンパンマンタイヤえほん,［バラエティ］　アンパンマンタイヤえほん,20221021,2209,アンパンマンタイヤえほん,アンパンマンタイヤえほん
9784577051092,めくってだあれ？,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43372092,めくってだあれ？,ベイビー・アンパンマン,20221128,2163,ベイビー・アンパンマン,ベイビー・アンパンマン
9784591175002,黒田長政　戦国人物伝　日本の歴史＜コミック版＞８３,,1076,16,0071,0005,0041,書籍,児童書,学習百科,学習漫画,偉人・伝記（漫画）,加来耕三,0000591,ポプラ社,43367771,黒田長政　戦国人物伝　日本の歴史＜コミック版＞８３,,20221013,1056,コミック版　日本の歴史,コミック版　日本の歴史
9784591175637,アナと雪の女王まちがいさがし　エルサのプレゼント,,1076,16,0021,0001,0005,書籍,児童書,キャラクター絵本,キャラクター絵本,ディズニー,ｍｉｏ,0000591,ポプラ社,43380016,アナと雪の女王まちがいさがし　エルサのプレゼント,,20221207,1656,単行本,ディズニー
9784774622767,れいぞうこのそこのそこ　りんごのまほう,,1076,16,0007,0001,0097,書籍,児童書,絵本,国内絵本,３才〜国内絵本,うえだしげこ,0007746,教育画劇,43359665,れいぞうこのそこのそこ　りんごのまほう,れいぞうこのあるあるえほん,20221006,1353,れいぞうこのあるあるえほん,れいぞうこのあるあるえほん
9784774622859,おばけのやだもん　だいすき！ソフトクリーム,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,ひらのゆきこ,0007746,教育画劇,43375642,おばけのやだもん　だいすき！ソフトクリーム,,20230112,1132,おばけのやだもん　えほんシリーズ,おばけのやだもん
9784774333335,５さいからできる　おかね　はじめて編,,1076,16,0071,0001,0007,書籍,児童書,学習百科,学習百科,道徳・教養,白井一之,0007743,くもん出版,43366183,５さいからできる　おかね　はじめて編,シールたっぷりレッスン,20221202,1869,シールたっぷりレッスン,シールたっぷりレッスン
9784774333366,４さいからできる　えいご,,1076,16,0071,0001,0006,書籍,児童書,学習百科,学習百科,英語,卯城祐司,0007743,くもん出版,43366186,４さいからできる　えいご,シールたっぷりレッスン,20221202,1319,シールたっぷりレッスン,シールたっぷりレッスン
9784774333342,５さいからできる　プログラミング,,1076,16,0071,0001,0009,書籍,児童書,学習百科,学習百科,プログラミング,中村一彰,0007743,くもん出版,43366184,５さいからできる　プログラミング,シールたっぷりレッスン,20221202,1675,シールたっぷりレッスン,シールたっぷりレッスン
9784774333359,４さいからできる　しぜんとかがく,,1076,16,0071,0001,0004,書籍,児童書,学習百科,学習百科,理科,横山正,0007743,くもん出版,43366185,４さいからできる　しぜんとかがく,シールたっぷりレッスン,20221202,1363,シールたっぷりレッスン,シールたっぷりレッスン
9784815429812,愛知県公立高予想テスト　２０２３年度受験用,,1076,19,0021,0061,0011,書籍,学習参考書,中学学参,高校入試,学校別問題集,英俊社編集部,0008154,英俊社,43372163,愛知県公立高予想テスト　２０２３年度受験用,公立高校入試予想テストシリーズ,20221110,1381,公立高校入試予想テストシリーズ,公立高校入試予想テストシリーズ
9784834086850,でんしゃが　きた！,,1076,16,0007,0005,0001,書籍,児童書,絵本,福音館書店,福音館書店,石橋真樹子,0008340,福音館書店,43365884,でんしゃが　きた！,幼児絵本ふしぎなたねシリーズ,20221107,1030,幼児絵本ふしぎなたねシリーズ,幼児絵本ふしぎなたねシリーズ
9784866515816,うんこドリル　たしざん・ひきざんもんだいしゅう編小学１年生　日本一楽しい学習ドリル,,1076,19,0005,0001,0051,書籍,学習参考書,小学ドリル,小学ドリル,うんこドリル,古屋雄作,0086651,文響社,43367358,うんこドリル　たしざん・ひきざんもんだいしゅう編小学１年生　日本一楽しい学習ドリル,うんこドリル算数,20221110,1667,小学生 ドリル 1年生,うんこドリル_小
9784815429836,兵庫県公立高予想テスト　２０２３年度受験用,,1076,19,0021,0061,0011,書籍,学習参考書,中学学参,高校入試,学校別問題集,英俊社編集部,0008154,英俊社,43372165,兵庫県公立高予想テスト　２０２３年度受験用,公立高校入試予想テストシリーズ,20221110,1141,公立高校入試予想テストシリーズ,公立高校入試予想テストシリーズ
9784866515830,うんこドリル　小学１ー６年生の全漢字,,1076,19,0005,0001,0051,書籍,学習参考書,小学ドリル,小学ドリル,うんこドリル,古屋雄作,0086651,文響社,43367360,うんこドリル　小学１ー６年生の全漢字,,20221110,1150,小学生 ドリル,うんこドリル_小
9784890859078,東進共通テスト実戦問題集英語［リーディング］〈２訂版〉,,1076,19,0031,0051,0031,書籍,学習参考書,高校学参,予備校,東進ハイスクール,安河内哲也,0089085,ナガセ,43367862,東進共通テスト実戦問題集英語［リーディング］〈２訂版〉,東進ブックス,20221108,1146,,東進ブックス
9784866515311,１日１まい　３０日うんこドリル　かん字　小学１年生,,1076,19,0005,0001,0051,書籍,学習参考書,小学ドリル,小学ドリル,うんこドリル,古屋雄作,0086651,文響社,43335805,１日１まい　３０日うんこドリル　かん字　小学１年生,,20221005,1238,小学生 ドリル 1年生,うんこドリル_小
9784815429829,大阪府公立高等学校一般予想テスト　２０２３年度受験用,,1076,19,0021,0061,0011,書籍,学習参考書,中学学参,高校入試,学校別問題集,ｍｉｏ,0008154,英俊社,43372164,大阪府公立高等学校一般予想テスト　２０２３年度受験用,公立高校入試予想テストシリーズ,20221102,1402,公立高校入試予想テストシリーズ,公立高校入試予想テストシリーズ
9784862904089,Ｚ会小学生わくわくワーク６年生総復習・中学さきどり編　２０２２・２０２３年度用　国語・算数・理科・社会・英語,,1076,19,0011,0005,0021,書籍,学習参考書,小学学参,基礎学習,総復習,Ｚ会編集部,0086290,Ｚ会編集部,43374294,Ｚ会小学生わくわくワーク６年生総復習・中学さきどり編　２０２２・２０２３年度用　国語・算数・理科・社会・英語,,20221108,1296,,わくわくワーク
9784866515823,うんこドリル　たし算・ひき算・かけ算もんだいしゅう編小学２年生　日本一楽しい学習ドリル,,1076,19,0005,0001,0051,書籍,学習参考書,小学ドリル,小学ドリル,うんこドリル,古屋雄作,0086651,文響社,43367359,うんこドリル　たし算・ひき算・かけ算もんだいしゅう編小学２年生　日本一楽しい学習ドリル,うんこドリル算数,20221110,1148,小学生 ドリル 2年生,うんこドリル_小
