,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
259,9784834018035,153,砂の妖精,砂,,砂の妖精,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,イーディス・ネズビット,福音館文庫
64,9784036525409,154,宇宙戦争,,,宇宙戦争,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ハーバート・ジョージ・ウェルズ,偕成社文庫
69,9784036525508,155,飛ぶ教室,,,飛ぶ教室,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エーリヒ・ケストナー,偕成社文庫
281,9784036514205,156,奇岩城,,,奇岩城,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫
139,9784863896130,157,夏の夜の夢　物語で読むシェイクスピア４,　物語で読むシェイクスピア,,夏の夜の夢　物語で読むシェイクスピア４,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,斉藤洋,静山社ペガサス文庫
115,9784863896116,157,ハムレット　物語で読むシェイクスピア,　物語で読むシェイクスピア,,ハムレット　物語で読むシェイクスピア,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,斉藤洋,静山社ペガサス文庫
210,9784863896123,157,十二夜　物語で読むシェイクスピア３,　物語で読むシェイクスピア,,十二夜　物語で読むシェイクスピア３,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,斉藤洋,静山社ペガサス文庫
175,9784863896147,157,マクベス　物語で読むシェイクスピア５,　物語で読むシェイクスピア,,マクベス　物語で読むシェイクスピア５,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,斉藤洋,静山社ペガサス文庫
325,9784036511402,158,子鹿物語　下,子鹿物語　,,子鹿物語　下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マ－ジョリ－・キンナン・ロ－リングズ,偕成社文庫
345,9784036511303,158,子鹿物語　中,子鹿物語　,,子鹿物語　中,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マ－ジョリ－・キンナン・ロ－リングズ,偕成社文庫
347,9784036511204,158,子鹿物語　上,子鹿物語　,,子鹿物語　上,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マ－ジョリ－・キンナン・ロ－リングズ,
86,9784834019889,159,若草物語,若草物語,,若草物語,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ルイザ・メイ・オルコット,福音館文庫
433,9784036514601,159,若草物語（上）,若草物語,,若草物語,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルイザ・メイ・オルコット,偕成社文庫
425,9784038504303,160,次郎物語　第２部,次郎物語,,次郎物語　第２部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,下村湖人,
372,9784038504204,160,次郎物語,次郎物語,１,次郎物語,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,下村湖人,偕成社文庫
380,9784036504503,160,三太物語,次郎物語,,三太物語,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,青木茂,偕成社文庫
143,9784834018059,161,二年間の休暇（上）,二年間の休暇（,,二年間の休暇,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジュール・ヴェルヌ,福音館文庫
150,9784834018066,161,二年間の休暇（下）,二年間の休暇（,,二年間の休暇,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジュール・ヴェルヌ,福音館文庫
338,9784036520305,161,二年間の休暇　下,二年間の休暇（,,二年間の休暇,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,偕成社文庫
320,9784036520206,161,二年間の休暇　上,二年間の休暇（,,二年間の休暇,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,偕成社文庫
381,9784834018240,162,人間だって空を飛べる,人間,,人間だって空を飛べる,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ヴァージニアハミルトン,福音館文庫
57,9784036524808,162,透明人間,人間,,透明人間,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ハーバート・ジョージ・ウェルズ,偕成社文庫
434,9784036507405,163,王子とこじき（上）,王子とこじき（,,王子とこじき　上,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マーク・トウェイン,偕成社文庫
428,9784036507504,163,王子とこじき（下）,王子とこじき（,,王子とこじき　下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マーク・トウェイン,偕成社文庫
244,9784036524402,164,家なき娘　上,家なき娘,,家なき娘,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エクトール・マロ,偕成社文庫
256,9784036524501,164,家なき娘（下）,家なき娘,,家なき娘,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エクトール・マロ,偕成社文庫
300,9784834020793,165,北の森の十二か月（上）,北の森の十二か月（,,北の森の十二か月,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ニコライ・スラトコフ,福音館文庫
299,9784834020809,165,北の森の十二か月（下）,北の森の十二か月（,,北の森の十二か月,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ニコライ・イヴァノヴィチ・スラトコフ,福音館文庫
93,9784036514908,166,赤毛のアン（下）,赤毛のアン（,,赤毛のアン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
83,9784036514809,166,赤毛のアン（上）,赤毛のアン（,,赤毛のアン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
218,9784834083071,166,赤毛のゾラ（下）,赤毛のアン（,,赤毛のゾラ,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,クルト・ヘルト,福音館文庫
219,9784834083064,166,赤毛のゾラ（上）,赤毛のアン（,,赤毛のゾラ,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,クルト・ヘルト,福音館文庫
77,9784834020946,167,海底二万海里（下）,海底二万海里（,,海底二万海里,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジュール・ヴェルヌ,福音館文庫
60,9784834020939,167,海底二万海里（上）,海底二万海里（,,海底二万海里,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジュール・ヴェルヌ,福音館文庫
236,9784036523801,167,海底二万里　下,海底二万海里（,,海底二万里　下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,偕成社文庫
145,9784036523603,167,海底二万里　上,海底二万海里（,,海底二万里　上,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,偕成社文庫
211,9784036523702,167,海底二万里　中,海底二万海里（,,海底二万里　中,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,偕成社文庫
118,9784834021745,168,ガリヴァー旅行記（上）,ガリヴァー旅行記（,,ガリヴァー旅行記,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジョナサン・スウィフト,福音館文庫
134,9784834021752,168,ガリヴァー旅行記（下）,ガリヴァー旅行記（,,ガリヴァー旅行記,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジョナサン・スウィフト,福音館文庫
65,9784036519903,169,地底旅行,,,地底旅行,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,
