,JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM,cid
2442,9784061996694,小説・アニメ　カードキャプターさくら　クリアカード編,１,小説・アニメ　カードキャプターさくら　クリアカード編,児童書,児童文庫,児童文庫,その他児童文庫,講談社,有沢ゆう希,講談社ＫＫ文庫,126
2443,9784065171202,カタコイ　つきあうのがゴール？,３,カタコイ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,有沢ゆう希,講談社青い鳥文庫,194
2444,9784036501007,コンチキ号漂流記,,コンチキ号漂流記,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ト－ル・ハイエルダ－ル,偕成社文庫,426
2445,9784062854955,魔リンピックでおもてなし　黒魔女さんが通る！！×若おかみは小学生！,,魔リンピックでおもてなし　黒魔女さんが通る！！×若おかみは小学生！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,石崎洋司,講談社青い鳥文庫,527
2446,9784001140378,銀のいす,,銀のいす,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,クライヴ・ステー,岩波少年文庫,289
2447,9784046318572,失恋妖怪ユーレミはフラれ女子の味方です！,,失恋妖怪ユーレミはフラれ女子の味方です！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,令丈ヒロ子,角川つばさ文庫,512
2448,9784591146538,不思議の国のアリス,,不思議の国のアリス,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,ルイス・キャロル,ポプラポケット文庫,427
2449,9784591089248,三国志　天下三分の計,２,三国志,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,〔羅貫中〕,ポプラポケット文庫,189
2450,9784001145038,モンテ・クリスト伯　上,,モンテ・クリスト伯　上,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,アレクサンドル・デュマ・ペール,岩波少年文庫,425
2451,9784046316592,聖の青春　病気と戦いながら将棋日本一をめざした少年,,聖の青春　病気と戦いながら将棋日本一をめざした少年,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大崎善生,角川つばさ文庫,204
2452,9784001142440,青い月の石,,青い月の石,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,トンケ・ドラフト,岩波少年文庫,29
2453,9784062854566,ムーミン谷の十一月＜新装版＞,,ムーミン谷の十一月＜新装版＞,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,トーベ・ヤンソン,講談社青い鳥文庫,157
2454,9784035500308,大きい１年生と小さな２年生,,大きい１年生と小さな２年生,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,古田足日,偕成社文庫,545
2455,9784001146233,ベルリン１９３３　壁を背にして（上）,,ベルリン１９３３　壁を背にして,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,クラウス・コルドン,岩波少年文庫,174
2456,9784001142099,小公子,,小公子,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,フランシス・ホジソン・バーネット,岩波少年文庫,344
2457,9784083214608,日本史超びっくり！謎伝説,,日本史超びっくり！謎伝説,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,小沢章友,集英社みらい文庫,68
2458,9784062856836,１３歳は怖い　新学期の落とし穴,,１３歳は怖い　新学期の落とし穴,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫,453
2459,9784001140927,山賊のむすめローニャ,,山賊のむすめローニャ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,アストリッド・リンドグレーン,岩波少年文庫,390
2460,9784062854450,ムーミンパパの思い出＜新装版＞,,ムーミンパパの思い出＜新装版＞,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,トーベ・ヤンソン,講談社青い鳥文庫,184
2461,9784001145298,イワンのばか,,イワンのばか,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,レフ・ニコラエヴィチ・トルストイ,岩波少年文庫,57
2462,9784092301016,ダレン・シャン　奇怪なサーカス,１,ダレン・シャン,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫,317
2463,9784591159804,幕末英雄列伝　〈雷〉の章　吉田松陰　久坂玄瑞　高杉晋作　桂小五郎,,幕末英雄列伝　〈雷〉の章　吉田松陰　久坂玄瑞　高杉晋作　桂小五郎,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,藤咲あゆな,ポプラポケット文庫,333
2464,9784001145144,ファーブルの昆虫記　下,,ファーブル昆虫記,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジャン・アンリ・ファーブル,岩波少年文庫,401
2465,9784062850766,獣の奏者,３,獣の奏者,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,上橋菜穂子,講談社青い鳥文庫,24
2466,9784036513901,怪盗紳士ルパン　アルセーヌ＝ルパン・シリーズ,,怪盗紳士ルパン　アルセーヌ＝ルパン・シリーズ,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫,480
2467,9784065166802,小説　地獄少女,,小説　地獄少女,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,石崎洋司,講談社青い鳥文庫,391
2468,9784046315748,幽霊探偵ハル　犯人をあばけ！毒の吹き矢事件,,幽霊探偵ハル　犯人をあばけ！毒の吹き矢事件,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,田部智子,角川つばさ文庫,448
2469,9784062850896,三国志　激闘の巻,３,三国志,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,小沢章友,講談社青い鳥文庫,419
2470,9784834018165,農場の少年　インガルス一家の物語５,,農場の少年,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ローラ・インガルス・ワイルダー,福音館文庫,337
2471,9784092312524,白魔女リンと３悪魔　ミッドナイト・ジョーカー,,白魔女リンと３悪魔　ミッドナイト・ジョーカー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,成田良美,小学館ジュニア文庫,348
2472,9784591160794,幕末英雄列伝　〈風〉の章　勝海舟　佐久間象山　ジョン万次郎　アーネスト・サトウ,,幕末英雄列伝　〈風〉の章　勝海舟　佐久間象山　ジョン万次郎　アーネスト・サトウ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,藤咲あゆな,ポプラポケット文庫,340
2473,9784001146264,ベルリン１９４５　はじめての春（下）,,ベルリン１９４５　はじめての春,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,クラウス・コルドン,岩波少年文庫,169
2474,9784062850926,獣の奏者,４,獣の奏者,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,上橋菜穂子,講談社青い鳥文庫,497
2475,9784083211935,清少納言と紫式部　千年前から人気作家！,,清少納言と紫式部　千年前から人気作家！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,奥山景布子,集英社みらい文庫,50
2476,9784083213816,ジョジョの奇妙な冒険　ダイヤモンドは砕けない　第一章　映画ノベライズ＜みらい文庫版＞,,ジョジョの奇妙な冒険　ダイヤモンドは砕けない　第一章　映画ノベライズ＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,はのまきみ,集英社みらい文庫,96
2477,9784092307889,怪盗ジョーカー　開幕！怪盗ダーツの挑戦！！,,怪盗ジョーカー　開幕！怪盗ダーツの挑戦！！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫,430
2478,9784046318015,レシピにたくした料理人の夢　難病で火を使えない少年,,レシピにたくした料理人の夢　難病で火を使えない少年,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,百瀬しのぶ,角川つばさ文庫,543
2479,9784001140538,帰ってきたメアリー・ポピンズ,,帰ってきたメアリー・ポピンズ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,Ｐ．Ｌ．トラヴァース,岩波少年文庫,99
2480,9784046317155,モンスターハンタークロス　ニャンターライフ　ライゼクス襲来！,,モンスターハンタークロス　ニャンターライフ　ライゼクス襲来！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,相坂ゆうひ,角川つばさ文庫,467
