JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784065309926,プリキュアオールスターズ　さがして！プリキュア,,1076,16,0021,0001,0045,書籍,児童書,キャラクター絵本,キャラクター絵本,ヒロイン,東映アニメーション,0000006,講談社,43393230,プリキュアオールスターズ　さがして！プリキュア,,20230208,4074,,
9784046322029,ふたごチャレンジ！　ココロ揺らめく遊園地！？,４,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,七都にい,0000004,ＫＡＤＯＫＡＷＡ,43292427,ふたごチャレンジ！,角川つばさ文庫,20230112,3936,,
9784010351239,英単語ターゲット１９００　Ｂｒｉｇｈｔ　２０２３,,1076,19,0031,0005,0011,書籍,学習参考書,高校学参,英語,英単語・熟語,ターゲット編集部,0000001,旺文社,43403785,英単語ターゲット１９００　Ｂｒｉｇｈｔ　２０２３,大学ＪＵＫＥＮ新書,20230226,1649,,
9784083217500,二条くんはわたしの執事　ダンスパーティーで運命の告白！？,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,小桜すず,0000008,集英社,43375617,二条くんはわたしの執事　ダンスパーティーで運命の告白！？,集英社みらい文庫,20221125,1301,二条くんはわたしの執事,
9784865314960,共通テスト予想問題パック　２０２３年用,,1076,19,0031,0051,0041,書籍,学習参考書,高校学参,予備校,Ｚ会,Ｚ会編集部,0086531,Ｚ会,43367355,共通テスト予想問題パック　２０２３年用,,20221007,5479,,
9784569880921,青鬼　調査クラブ　怪物を従えた少女と激突せよ！,７,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,波摘,0000569,ＰＨＰ研究所,43113004,青鬼　調査クラブ,ＰＨＰジュニアノベル,20230126,2467,PHPジュニアノベル,
9784083217555,天宮家の王子さま　メイドのわたしのバレンタイン計画！,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,白井ごはん,0000008,集英社,43382706,天宮家の王子さま　メイドのわたしのバレンタイン計画！,集英社みらい文庫,20221216,2323,天宮家の王子さま,
9784813780786,ヴァンパイア・溺愛パラダイス,５,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,碧井こなつ,0008137,スターツ出版,43270868,ヴァンパイア・溺愛パラダイス,野いちごジュニア文庫,20230120,1878,ヴァンパイア♡溺愛パラダイス,
9784398149527,ねこさんのってくださーい　ワクワクがめばえる,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,柏原晃夫,0000398,昭文社,43378065,ねこさんのってくださーい　ワクワクがめばえる,,20221130,1042,書籍,
9784892880858,北辰のかこもん　国語　２０２２年度中３北辰テスト過去問題集,,1076,19,0021,0005,0011,書籍,学習参考書,中学学参,基礎学習,基礎学習問題集,ｍｉｏ,0089288,北辰図書出版,43412910,北辰のかこもん　国語　２０２２年度中３北辰テスト過去問題集,,20230322,2036,,
