JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784035510505,日本のむかし話＜新版＞　桃太郎ほか全２１編,８,日本のむかし話＜新版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,坪田譲治,偕成社文庫
9784035510109,日本のむかし話＜新版＞　ツルの恩がえしほか全１８編,４,日本のむかし話＜新版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,坪田譲治,偕成社文庫
9784038502002,コタンの口笛　第２部　光の歌　下,,コタンの口笛　第２部　光の歌　下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,石森延男,偕成社文庫
9784035508205,なんだかへんて子,,なんだかへんて子,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,山中恒,偕成社文庫
9784036522507,緋色の研究,,緋色の研究,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,コナン・ドイル,偕成社文庫
9784035503705,少年たんていブラウン,３,少年たんていブラウン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ドナルド・Ｊ・ソボル,偕成社文庫
9784863894761,バーティミアス　プトレマイオスの門（上）,７,バーティミアス　プトレマイオスの門,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョナサン・ストラウド,静山社ペガサス文庫
9784863894785,バーティミアス　プトレマイオスの門（下）,９,バーティミアス　プトレマイオスの門,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョナサン・ストラウド,静山社ペガサス文庫
9784035504306,ひめゆりの少女たち,,ひめゆりの少女たち,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,那須田稔,偕成社文庫
9784038501708,コタンの口笛　第１部　あらしの歌　上,,コタンの口笛　第１部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,石森延男,偕成社文庫
9784036523306,エミリー　下,,エミリー,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
9784036525805,８１３　アルセーヌ・ルパン,,８１３　アルセーヌ・ルパン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫
9784863894778,バーティミアス　プトレマイオスの門（中）,８,バーティミアス　プトレマイオスの門,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョナサン・ストラウド,静山社ペガサス文庫
9784038501609,車輪の下,,車輪の下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ヘルマン・ヘッセ,偕成社文庫
9784036526406,テラビシアにかける橋,,テラビシアにかける橋,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,キャサリン・パターソン,偕成社文庫
9784036508600,グリム童話集,３,グリム童話集,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ヤーコプ・グリム,偕成社文庫
9784035510208,日本のむかし話＜新版＞　こぶとりじいさんほか全１９編,５,日本のむかし話＜新版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,坪田譲治,偕成社文庫
9784834006346,いっすんぼうしの話,,いっすんぼうしの話,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,レオポルド・ショ,福音館文庫
9784038504303,次郎物語　第２部,,次郎物語　第２部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,下村湖人,
9784036504107,砂時計,,砂時計,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,岡野薫子,偕成社文庫
9784834019018,アライグマ博士と仲間たち,,アライグマ博士と仲間たち,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ベン・ル－シャン,福音館文庫
9784036507504,王子とこじき（下）,,王子とこじき　下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マーク・トウェイン,偕成社文庫
9784038500305,ひとすじの道,１,ひとすじの道,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,丸岡秀子,偕成社文庫
9784038505300,大地の園　ロマンの門　第３部,,大地の園　ロマンの門　第３部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,打木村治,
9784036524204,天保の人びと,,天保の人びと,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,かつおきんや,偕成社文庫
9784035510406,日本のむかし話＜新版＞　花さかじじいほか全２１編,７,日本のむかし話＜新版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,坪田譲治,偕成社文庫
9784036514601,若草物語（上）,,若草物語,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルイザ・メイ・オルコット,偕成社文庫
9784036507405,王子とこじき（上）,,王子とこじき　上,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,マーク・トウェイン,偕成社文庫
9784036523009,いじめっ子,,いじめっ子,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュディ・ブル－ム,偕成社文庫
9784038505102,大地の園　学びの門　第１部,,大地の園　学びの門　第１部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,打木村治,
9784035509301,ヒルベルという子がいた,,ヒルベルという子がいた,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ペーター・ヘルトリング,偕成社文庫
9784834014433,エルマーと１６ぴきのりゅう,,エルマーと１６ぴきのりゅう,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ルース・スタイルス・ガネット,
9784834020748,ミス・ヒッコリーと森のなかまたち,,ミス・ヒッコリーと森のなかまたち,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,キャロライン・シャーウィン・ベイリー,福音館文庫
9784834018431,フクロウ物語,,フクロウ物語,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,モーリー・パ,福音館文庫
9784035511106,ちゃいろの童話集　ラング世界童話全集６＜改訂版＞,,ちゃいろの童話集　ラング世界童話全集６＜改訂版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アンドルー・ラング,偕成社文庫
9784035510307,日本のむかし話＜新版＞　わらしべ長者ほか全１７編,６,日本のむかし話＜新版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,坪田譲治,偕成社文庫
9784834006414,語りつぐ人びと・アフリカの民話,,語りつぐ人びと・アフリカの民話,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,江口一久,福音館文庫
9784036508105,サインのない手紙,,サインのない手紙,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,砂田弘,偕成社文庫
9784038505409,大地の園　知と愛の門　第４部,,大地の園　知と愛の門　第４部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,打木村治,
9784834037951,文庫・魔女の宅急便　３点セット,,文庫・魔女の宅急便　３点セット,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,,
9784038505201,大地の園　多感の門　第２部,,大地の園　多感の門　第２部,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,打木村治,
9784036525300,屋根裏部屋の秘密,,屋根裏部屋の秘密,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,松谷みよ子,偕成社文庫
9784035511700,くじゃくいろの童話集　ラング世界童話全集＜改訂版＞１２,,くじゃくいろの童話集　ラング世界童話全集＜改訂版＞１２,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アンドルー・ラング,偕成社文庫
9784036524907,なぜエヴァンズにいわない？,,なぜエヴァンズにいわない？,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アガサ・クリスティ,偕成社文庫
9784036507306,夕鶴　彦市ばなし,,夕鶴　彦市ばなし,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,木下順二,偕成社文庫
9784036514403,ポリアンナの青春,,ポリアンナの青春,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エレナ・ポーター,偕成社文庫
9784035509905,日本のむかし話＜新版＞　かちかち山ほか全１７編,２,日本のむかし話＜新版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,坪田譲治,偕成社文庫
9784036527403,海にかがやく,,海にかがやく,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,斉藤洋,偕成社文庫
