JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784046315175,いみちぇん！　五年二組のキケンなうわさ,４,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784065115268,Ｄｉｓｎｅｙ　みんなが知らないリトル・マーメイド,,Ｄｉｓｎｅｙ　みんなが知らないリトル・マーメイド,児童書,児童文庫,児童文庫,その他児童文庫,講談社,セレナ・ヴァレンティーノ,講談社ＫＫ文庫
9784591173169,かがみの孤城（上）,,かがみの孤城,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,辻村深月,ポプラキミノベル　創作
9784083215834,放課後、きみがピアノをひいていたから～運命～,,放課後、きみがピアノをひいていたから～運命～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,柴野理奈子,集英社みらい文庫
9784046312082,ぼくらの（ヤ）バイト作戦,,ぼくらの（ヤ）バイト作戦,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784065122655,恋する図書館は知っている　探偵チームＫＺ事件ノート,,恋する図書館は知っている　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784046318718,いみちぇん！　いざ、ミコトバの里へ！,１５,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784092895768,すみっコぐらしストーリーズ,,すみっコぐらしストーリーズ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,せきちさと,ちゃおノベルズ
9784083216794,天宮家の王子さま　メイドのわたしが初デート！？,,天宮家の王子さま　メイドのわたしが初デート！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,白井ごはん,集英社みらい文庫
9784046316769,ぼくらのハイジャック戦争,,ぼくらのハイジャック戦争,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784046320643,怪狩り　せまりくる悪夢,５,怪狩り,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,佐東みどり,角川つばさ文庫
9784092306387,名探偵コナン沈黙の１５分－クオーター－,,名探偵コナン沈黙の１５分－クオーター－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニアシネマ文庫
9784046318183,未来のミライ,,未来のミライ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,細田守,角川つばさ文庫
9784046319760,怪狩り　太陽と月の絆,３,怪狩り,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,佐東みどり,角川つばさ文庫
9784083216251,放課後ゆ～れい部の事件ファイル　たったふたりのヒミツのクラブ,,放課後ゆ～れい部の事件ファイル　たったふたりのヒミツのクラブ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,朝里樹,集英社みらい文庫
9784867161852,転生したらスライムだった件１　最強のスライム誕生！？（下）,,転生したらスライムだった件１　最強のスライム誕生！？,児童書,児童文庫,児童文庫,その他児童文庫,マイクロマガジン社,伏瀬,かなで文庫
9784083217050,ふたごの恋の事情　そっくり姉妹が似てない兄弟に恋してる！？,,ふたごの恋の事情　そっくり姉妹が似てない兄弟に恋してる！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,一ノ瀬三葉,集英社みらい文庫
9784046315670,いみちぇん！　ウソ？ホント？まぼろしの札,５,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784046319319,僕はまた、君にさよならの数を見る,,僕はまた、君にさよならの数を見る,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,霧友正規,角川つばさ文庫
9784065206706,兄が３人できまして　王子様のなんでも屋,２,兄が３人できまして　王子様のなんでも屋,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,伊藤クミコ,講談社青い鳥文庫
9784046317070,ロウソクの科学　世界一の先生が教える超おもしろい理科,,ロウソクの科学　世界一の先生が教える超おもしろい理科,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,平野累次,角川つばさ文庫
9784092312494,ポケットモンスターみんなの物語＜劇場版＞,,ポケットモンスターみんなの物語＜劇場版＞,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
9784083214516,生き残りゲーム　ラストサバイバル　かけめぐれ無人島！サバイバルアドベンチャー,,生き残りゲーム　ラストサバイバル　かけめぐれ無人島！サバイバルアドベンチャー,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
9784046317353,ぼくらの卒業いたずら大作戦（上）,,ぼくらの卒業いたずら大作戦,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784813780410,あこがれ男子と、ひみつのワケあり同居！,,あこがれ男子と、ひみつのワケあり同居！,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,ゆいっと,野いちごジュニア文庫
9784083215940,ほんとにあった怖い話　ドラマノベライズ　死者からの伝言編,,ほんとにあった怖い話　ドラマノベライズ　死者からの伝言編,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,小川彗,集英社みらい文庫
9784092313583,華麗なる探偵アリス＆ペンギン　ウエルカム・ミラーランド,,華麗なる探偵アリス＆ペンギン　ウエルカム・ミラーランド,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,南房秀久,小学館ジュニア文庫
9784065145005,夜カフェ,２,夜カフェ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
9784046321022,ぜったいバレちゃいけません！！！　恋の季節です！？　文化祭！,３,ぜったいバレちゃいけません！！！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,水無仙丸,角川つばさ文庫
9784065186268,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院,４,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,辻みゆき,講談社青い鳥文庫
9784046316073,いみちぇん！　絶対無敵のきずな,６,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784046314130,ぼくらの太平洋戦争,,ぼくらの太平洋戦争,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784083216732,迷宮教室　禁断のともだちランキング,,迷宮教室　禁断のともだちランキング,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,あいはらしゅう,集英社みらい文庫
