,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
368,9784065120552,248,小説・アニメ　カードキャプターさくら　クリアカード編,小説・アニメ　カードキャプターさくら　さくらカード編（,３,小説・アニメ　カードキャプターさくら　クリアカード編,児童書,児童文庫,児童文庫,その他児童文庫,講談社,有沢ゆう希,講談社ＫＫ文庫
389,9784061996670,248,小説・アニメ　カードキャプターさくら　さくらカード編（下）,小説・アニメ　カードキャプターさくら　さくらカード編（,,小説・アニメ　カードキャプターさくら　さくらカード編,児童書,児童文庫,児童文庫,その他児童文庫,講談社,有沢ゆう希,講談社ＫＫ文庫
135,9784591173572,249,ラブオールプレー　太陽の背中,ラブオールプレー　,２,ラブオールプレー,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,小瀬木麻美,ポプラキミノベル　ノベライズ
99,9784591172438,249,ラブオールプレー　青色のつむじ風,ラブオールプレー　,１,ラブオールプレー,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,小瀬木麻美,ポプラキミノベル　ノベライズ
208,9784591173985,249,ラブオールプレー　交わる翼,ラブオールプレー　,３,ラブオールプレー,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,小瀬木麻美,ポプラキミノベル　ノベライズ
196,9784065257876,250,小説ブルーピリオド,小説ブルーピリオド,２,ブルーピリオド　小説,児童書,児童文庫,児童文庫,その他児童文庫,講談社,時海結以,講談社ＫＫ文庫
155,9784065250037,250,小説ブルーピリオド,小説ブルーピリオド,１,ブルーピリオド　小説,児童書,児童文庫,児童文庫,その他児童文庫,講談社,時海結以,講談社ＫＫ文庫
652,9784061996588,251,カーズ　めざせ！チャンピオン　ライトニング・マックィーン／ジャクソン・ストーム　Ｄｉｓｎｅｙ／Ｐｉｘａｒ,,,カーズ　めざせ！チャンピオン　ライトニング・マックィーン／ジャクソン・ストーム　Ｄｉｓｎｅｙ／Ｐｉｘａｒ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,デーブ・キーン,講談社ＫＫ文庫
370,9784092898035,252,小説　ゲキカワデビル　恋するゲキカワコーデ,カ,,小説　ゲキカワデビル　恋するゲキカワコーデ,児童書,児童文庫,児童文庫,その他児童文庫,小学館,やぶうち優,ＣＩＡＯ　ＢＯＯＫＳ
763,9784652075029,252,カラフル,カ,,カラフル,児童書,児童文庫,児童文庫,フォア文庫,理論社,森絵都,フォア文庫
504,9784052034145,253,シールとプリで　友モテ。恋モテ。　一期一会,,,シールとプリで　友モテ。恋モテ。　一期一会,児童書,児童文庫,児童文庫,その他児童文庫,学研プラス,マインドウェイブ,小学生文庫
686,9784062202824,254,シビル・ウォー　キャプテン・アメリカ,,,シビル・ウォー　キャプテン・アメリカ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,アレックス・アーヴァイン,
682,9784052033230,255,選んでたどる恋ストーリー　恋の決心。　一期一会,選んでたどる恋ストーリー　,,選んでたどる恋ストーリー　恋の決心。　一期一会,児童書,児童文庫,児童文庫,その他児童文庫,学研プラス,チーム１５１Ｅ☆,小学生文庫
554,9784052033247,255,選んでたどる友ストーリー　キミの存在。　一期一会,選んでたどる恋ストーリー　,,選んでたどる友ストーリー　キミの存在。　一期一会,児童書,児童文庫,児童文庫,その他児童文庫,学研プラス,チーム１５１Ｅ☆,小学生文庫
751,9784052034060,255,選んでたどる恋ストーリー　スキの始まり。　一期一会,選んでたどる恋ストーリー　,,選んでたどる恋ストーリー　スキの始まり。　一期一会,児童書,児童文庫,児童文庫,その他児童文庫,学研プラス,マインドウェイブ,小学生文庫
443,9784065160510,256,トイ・ストーリー　イッキ読み　３話！,トイ・ストーリー,,トイ・ストーリー　イッキ読み　３話！,児童書,児童文庫,児童文庫,その他児童文庫,講談社,講談社,ディズニームービーブック
451,9784065165676,256,トイ・ストーリー４　ディズニームービーブック,トイ・ストーリー,,トイ・ストーリー４　ディズニームービーブック,児童書,児童文庫,児童文庫,その他児童文庫,講談社,中井はるの,ディズニーストーリーブック
126,9784591169650,257,トム・ソーヤーの冒険,ム・,,トム・ソーヤーの冒険,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,マーク・トウェイン,ポプラキミノベル　名作
760,9784652074329,257,ハンサム・ガール,ム・,,ハンサム・ガール,児童書,児童文庫,児童文庫,フォア文庫,理論社,佐藤多佳子,フォア文庫
286,9784591171110,258,時空レスキュー鉄火！　まどわしの百鬼夜行,時空レスキュー鉄火！　,,時空レスキュー鉄火！　まどわしの百鬼夜行,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,向井湘吾,ポプラキミノベル　創作
204,9784591169674,258,時空レスキュー鉄火！　ねらわれた万有引力,時空レスキュー鉄火！　,,時空レスキュー鉄火！　ねらわれた万有引力,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,向井湘吾,ポプラキミノベル　創作
257,9784591171219,259,オン・ステージ！　邪悪な影に気をつけろ！？,オン・ステージ！　,２,オン・ステージ！,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,高田由紀子,ポプラキミノベル　創作
220,9784591169957,259,オン・ステージ！　あいつはナイショの幽霊部員！？,オン・ステージ！　,１,オン・ステージ！,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,高田由紀子,ポプラキミノベル　創作
