,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
693,9784591128732,278,ふしぎ？おどろき！科学のお話　３年生,ふしぎ？おどろき！科学のお話　,,ふしぎ？おどろき！科学のお話　３年生,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,ガリレオ工房,ポプラポケット文庫
744,9784001145403,279,一握の砂／悲しき玩具,しき,,一握の砂；悲しき玩具,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,石川啄木,岩波少年文庫
256,9784001145175,279,この楽しき日々,しき,,この楽しき日々,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ローラ・インガルス・ワイルダー,岩波少年文庫
754,9784001121001,280,よろこびの日,の日,,よろこびの日,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,アイザク・バシェヴィス・シンガー,岩波少年文庫
562,9784001145632,280,雪女／夏の日の夢,の日,,雪女,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ラフカディオ・ハーン,岩波少年文庫
773,9784001145359,281,山椒魚／しびれ池のカモ,,,山椒魚；しびれ池のカモ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,井伏鱒二,岩波少年文庫
455,9784001142013,282,土曜日はお楽しみ,曜日,,土曜日はお楽しみ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,エリザベス・エンライト,岩波少年文庫
473,9784001141047,282,月曜日に来たふしぎな子,曜日,,月曜日に来たふしぎな子,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジェイムズ・リーブズ,岩波少年文庫
1,9784591167052,283,お別れを前提にお付き合いしてください。,,,お別れを前提にお付き合いしてください。,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,榊あおい,ポケットショコラ
401,9784001142297,284,お静かに、父が昼寝しております,,,お静かに、父が昼寝しております,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,母袋夏生,岩波少年文庫
747,9784591140918,285,満員御霊！ゆうれい塾　おしえます、立派なゆうれいになる方法,,,満員御霊！ゆうれい塾　おしえます、立派なゆうれいになる方法,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,野泉マヤ,ポプラポケット文庫
131,9784001142501,286,まぼろしの小さい犬,まぼろしの,,まぼろしの小さい犬,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,フィリパ・ピアス,岩波少年文庫
585,9784001141429,286,まぼろしの白馬＜新版＞,まぼろしの,,まぼろしの白馬＜新版＞,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,エリザベス・グージ,岩波少年文庫
30,9784591156537,286,まぼろしの怪談　わたしの本,まぼろしの,,まぼろしの怪談　わたしの本,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,緑川聖司,ポプラポケット文庫
301,9784001140866,287,ぼくがぼくであること,ぼ,,ぼくがぼくであること,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,山中恒,岩波少年文庫
454,9784001141979,287,ぼんぼん,ぼ,,ぼんぼん,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,今江祥智,岩波少年文庫
742,9784591135792,288,おしん,お,,おしん,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,越水利江子,ポプラポケット文庫
190,9784001142457,288,おとうさんとぼく,お,,おとうさんとぼく,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ｅ・ｏ・プラウエン,岩波少年文庫
783,9784591088616,289,おじいさんのランプ,さんの,,おじいさんのランプ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,新美南吉,ポプラポケット文庫
133,9784001140026,289,長い長いお医者さんの話,さんの,,長い長いお医者さんの話,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,カレル・チャペック,岩波少年文庫
614,9784591088784,289,おかあさんの木,さんの,,おかあさんの木,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,大川悦生,ポプラポケット文庫
477,9784001141696,290,ゾウになった赤ちゃん　アーミテージ一家のお話３,　アーミテージ一家のお話,,ゾウになった赤ちゃん　アーミテージ一家のお話３,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジョーン・エイキン,岩波少年文庫
378,9784001141672,290,おとなりさんは魔女　アーミテージ一家のお話１,　アーミテージ一家のお話,,おとなりさんは魔女　アーミテージ一家のお話,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジョーン・エイキン,岩波少年文庫
36,9784591088678,291,坊っちゃん,坊っちゃん,,坊っちゃん,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,夏目漱石,ポプラポケット文庫
261,9784001145540,291,坊っちゃん,坊っちゃん,,坊っちゃん,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,夏目漱石,岩波少年文庫
602,9784001141665,292,青矢号　おもちゃの夜行列車,,,青矢号　おもちゃの夜行列車,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジャンニ・ロダーリ,岩波少年文庫
638,9784001140989,293,ごんぎつね,ごんぎつね,,ごんぎつね,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,新美南吉,岩波少年文庫
550,9784591088609,293,ごんぎつね,ごんぎつね,,ごんぎつね,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,新美南吉,ポプラポケット文庫
788,9784591088517,293,がんくつ王,ごんぎつね,,がんくつ王,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,アレクサンドル・デュマ・ペール,ポプラポケット文庫
724,9784591094921,294,がんばれ！キミは盲導犬,,,がんばれ！キミは盲導犬,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,長谷島妙子,ポプラポケット文庫
626,9784591123881,295,らくだいにんじゃらんたろう　らんたろう２ｉｎ１,にんじ,,らくだいにんじゃらんたろう　らんたろう２ｉｎ１,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,尼子騒兵衛,ポプラポケット文庫
434,9784591088487,295,にんじん,にんじ,,にんじん,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,ジュール・ルナール,ポプラポケット文庫
