JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784065227503,カレンダー吸血鬼は知っている　探偵チームＫＺ事件ノート,,カレンダー吸血鬼は知っている　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784065216309,初恋は知っている　砂原編　探偵チームＫＺ事件ノート,,初恋は知っている　砂原編　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784065239025,シンデレラ階段は知っている　探偵チームＫＺ事件ノート,,シンデレラ階段は知っている　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784065261002,心霊スポットは知っている　探偵チームＫＺスケッチブック,,心霊スポットは知っている　探偵チームＫＺスケッチブック,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784065203118,ブラック保健室は知っている　探偵チームＫＺ事件ノート,,ブラック保健室は知っている　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,藤本ひとみ,講談社青い鳥文庫
9784065163382,人狼サバイバル　絶体絶命！　伯爵の人狼ゲーム,,人狼サバイバル　絶体絶命！　伯爵の人狼ゲーム,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,甘雪こおり,講談社青い鳥文庫
9784065269596,地獄の金星ボスママは知っている　探偵チームＫＺ事件ノート,,地獄の金星ボスママは知っている　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784065202555,人狼サバイバル　一発逆転！ＩＱ２００の人狼ゲーム,,人狼サバイバル　一発逆転！ＩＱ２００の人狼ゲーム,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,甘雪こおり,講談社青い鳥文庫
9784065213582,人狼サバイバル　戦慄恐怖！氷点下の人狼ゲーム,,人狼サバイバル　戦慄恐怖！氷点下の人狼ゲーム,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,甘雪こおり,講談社青い鳥文庫
9784065225349,人狼サバイバル　頂上対決！三つ巴の人狼ゲーム,,人狼サバイバル　頂上対決！三つ巴の人狼ゲーム,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,甘雪こおり,講談社青い鳥文庫
