,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
245,9784092311480,74,緒崎さん家の妖怪事件簿,緒崎さん家の妖怪事件簿　,,緒崎さん家の妖怪事件簿,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,築山桂,小学館ジュニア文庫
292,9784092311800,74,緒崎さん家の妖怪事件簿　桃×団子パニック！,緒崎さん家の妖怪事件簿　,２,緒崎さん家の妖怪事件簿,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,築山桂,小学館ジュニア文庫
293,9784092312166,74,緒崎さん家の妖怪事件簿　狐×迷子パレード！,緒崎さん家の妖怪事件簿　,,緒崎さん家の妖怪事件簿　狐×迷子パレード！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,築山桂,小学館ジュニア文庫
286,9784092312616,74,緒崎さん家の妖怪事件簿　月×姫ミラクル！,緒崎さん家の妖怪事件簿　,,緒崎さん家の妖怪事件簿　月×姫ミラクル！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,築山桂,小学館ジュニア文庫
326,9784092306127,75,わさお,わさ,,わさお,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニアシネマ文庫
308,9784092307506,75,わさびちゃんとひまわりの季節,わさ,,わさびちゃんとひまわりの季節,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,たざわりいこ,小学館ジュニア文庫
238,9784092311916,76,あさひなぐ,さ,,あさひなぐ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,日笠由紀,小学館ジュニア文庫
327,9784092312463,76,さよなら、かぐや姫～月とわたしの物語～,さ,,さよなら、かぐや姫～月とわたしの物語～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,深山くのえ,小学館ジュニア文庫
185,9784092314054,77,ベイマックス,ック,,ベイマックス,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,アイリーン・トリンブル,小学館ジュニア文庫
377,9784092311985,77,ブラック,ック,,ブラック,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,山田悠介,小学館ジュニア文庫
373,9784092311411,78,ルイ・ブライユ　暗闇に光を灯した十五歳の点字発明者,,,ルイ・ブライユ　暗闇に光を灯した十五歳の点字発明者,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,山本徳造,小学館ジュニア文庫
222,9784092312456,79,ジュラシック・ワールド０～悲劇の王国～,ジュラシック・ワールド　サバイバル・キャンプ,,ジュラシック・ワールド０～悲劇の王国～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,テス・シャープ,小学館ジュニア文庫
193,9784092314023,79,ジュラシック・ワールド　サバイバル・キャンプ,ジュラシック・ワールド　サバイバル・キャンプ,２,ジュラシック・ワールド　サバイバル・キャンプ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,スティーブ・ベーリング,小学館ジュニア文庫
111,9784092313699,79,ジュラシック・ワールド　サバイバル・キャンプ,ジュラシック・ワールド　サバイバル・キャンプ,,ジュラシック・ワールド　サバイバル・キャンプ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,スティーブ・ベーリング,小学館ジュニア文庫
187,9784092312401,79,ジュラシック・ワールド　炎の王国,ジュラシック・ワールド　サバイバル・キャンプ,,ジュラシック・ワールド　炎の王国,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,坂野徳隆,小学館ジュニア文庫
122,9784092314139,79,ジュラシック・ワールド　新たなる支配者,ジュラシック・ワールド　サバイバル・キャンプ,,ジュラシック・ワールド　新たなる支配者,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,梅津かおり,小学館ジュニア文庫
296,9784092311787,80,スナックワールド,スナックワールド　,,スナックワールド,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,松井香奈,小学館ジュニア文庫
305,9784092312432,80,スナックワールド　大冒険はエンドレスだ！,スナックワールド　,,スナックワールド　大冒険はエンドレスだ！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,松井香奈,小学館ジュニア文庫
349,9784092312265,80,スナックワールド　メローラ姫を救え！,スナックワールド　,,スナックワールド　メローラ姫を救え！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,松井香奈,小学館ジュニア文庫
339,9784092312326,81,ラスト・ホールド！,ール,,ラスト・ホールド！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,松井香奈,小学館ジュニア文庫
299,9784092312654,81,トロールズ,ール,,トロールズ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,デイヴィッド・ルーマン,小学館ジュニア文庫
423,9784092307476,82,ドラマ　ドーリィ♪カノン　カノン誕生,ドラマ　ドーリィ♪カノン　,,ドラマ　ドーリィ♪カノン　カノン誕生,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,北川亜矢子,小学館ジュニア文庫
452,9784092307612,82,ドラマ　ドーリィ♪カノン　未来は僕らの手の中,ドラマ　ドーリィ♪カノン　,,ドラマ　ドーリィ♪カノン　未来は僕らの手の中,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,北川亜矢子,小学館ジュニア文庫
341,9784092311442,83,シャドウ・チルドレン　絶対に見つかってはいけない,シャドウ・チルドレン　絶対に,１,シャドウ・チルドレン,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,マーガレット・Ｐ・ハディックス,小学館ジュニア文庫
367,9784092311459,83,シャドウ・チルドレン　絶対にだまされてはいけない,シャドウ・チルドレン　絶対に,２,シャドウ・チルドレン,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,マーガレット・Ｐ・ハディックス,小学館ジュニア文庫
68,9784092314061,84,私ときどきレッサーパンダ,,,私ときどきレッサーパンダ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,代田亜香子,小学館ジュニア文庫
370,9784092311817,85,思春期・革命－レボリューション－～カラダとココロのハジメテ～,,,思春期・革命－レボリューション－～カラダとココロのハジメテ～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,市瀬まゆ,小学館ジュニア文庫
55,9784092313620,86,ボス・ベイビー　ファミリー・ミッション,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,,ボス・ベイビー　ファミリー・ミッション,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,佐藤結,小学館ジュニア文庫
171,9784092312128,86,ボス・ベイビー,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,,ボス・ベイビー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,日笠由紀,小学館ジュニア文庫
180,9784092312692,86,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,佐藤結,小学館ジュニア文庫
195,9784092313156,86,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,２,ボス・ベイビー　ビジネスは赤ちゃんにおまかせ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,佐藤結,小学館ジュニア文庫
332,9784092312784,87,大熊猫－パンダ－ベーカリー　パンダと私の内気なクリームパン！,ベーカリー　,,大熊猫－パンダ－ベーカリー　パンダと私の内気なクリームパン！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,くればやしよしえ,小学館ジュニア文庫
265,9784092313682,87,大熊猫ベーカリー　盗まれたひみつのレシピ,ベーカリー　,,大熊猫ベーカリー　盗まれたひみつのレシピ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,くればやしよしえ,小学館ジュニア文庫
186,9784092313828,88,トイ・ストーリー,トイ・ストーリー,,トイ・ストーリー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,Ｃ・Ｅ・デュボウスキー,小学館ジュニア文庫
258,9784092314009,88,トイ・ストーリー２,トイ・ストーリー,,トイ・ストーリー２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,レスリー・ゴールドマン,小学館ジュニア文庫
424,9784092308602,88,バットマンＶＳスーパーマン　ジャスティスの誕生　クロスファイヤー　オリジナルノベル「エピソード０」,トイ・ストーリー,,バットマンＶＳスーパーマン　ジャスティスの誕生　クロスファイヤー　オリジナルノベル「エピソード０」,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,マイケル・コッグス,小学館ジュニア文庫
174,9784092313637,89,モンスターズ・インク　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,,モンスターズ・インク　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,キキ・ソープ,小学館ジュニア文庫
194,9784092313644,89,モンスターズ・ユニバーシティ　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,,モンスターズ・ユニバーシティ　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,アイリーン・トリンブル,小学館ジュニア文庫
315,9784092313866,89,モンスターズ・ナイト　魔人ドラキュラ・フランケンシュタイン・狼男,　Ｄｉｓｎｅｙ・ＰＩＸＡＲ,,モンスターズ・ナイト　魔人ドラキュラ・フランケンシュタイン・狼男,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,山本清史,小学館ジュニア文庫
82,9784092313873,90,ＰＵＩ　ＰＵＩ　モルカー　ストーリーズ　モフモフなおはなし、あつめました,,,ＰＵＩ　ＰＵＩ　モルカー　ストーリーズ　モフモフなおはなし、あつめました,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,佐藤結,小学館ジュニア文庫
130,9784092313569,91,メチャ盛りユーチューバーアイドルいおん☆,,,メチャ盛りユーチューバーアイドルいおん☆,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,山本李奈,小学館ジュニア文庫
58,9784092313835,92,はろー！マイベイビー,はろー！マイベイビー,,はろー！マイベイビー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,綱島深雪,小学館ジュニア文庫
144,9784092314092,92,はろー！マイベイビー,はろー！マイベイビー,２,はろー！マイベイビー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,綱島深雪,小学館ジュニア文庫
274,9784092314207,93,ズートピア,ズ,,ズートピア,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,スーザン・フランシス,小学館ジュニア文庫
205,9784092314221,93,バズ・ライトイヤー,ズ,,バズ・ライトイヤー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,メレディス・ルースー,小学館ジュニア文庫
179,9784092313927,94,ナイトメアー・ビフォア・クリスマス　ティム・バートン,アー,,ナイトメアー・ビフォア・クリスマス　ティム・バートン,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,代田亜香子,小学館ジュニア文庫
448,9784092306066,94,幻影の覇者ゾロアーク,アー,,幻影の覇者ゾロアーク,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,世良ふゆみ,小学館ジュニアシネマ文庫
268,9784092307889,95,怪盗ジョーカー　開幕！怪盗ダーツの挑戦！！,怪盗ジョーカー　,,怪盗ジョーカー　開幕！怪盗ダーツの挑戦！！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
284,9784092308558,95,怪盗ジョーカー　闇夜の対決！ジョーカーＶＳシャドウ,怪盗ジョーカー　,,怪盗ジョーカー　闇夜の対決！ジョーカーＶＳシャドウ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
234,9784092312906,95,怪盗ジョーカー　宇宙へとびだせ！　ダイヤモンドの流れ星,怪盗ジョーカー　,,怪盗ジョーカー　宇宙へとびだせ！　ダイヤモンドの流れ星,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
272,9784092311947,95,怪盗ジョーカー　解決！世界怪盗ゲームへようこそ！！,怪盗ジョーカー　,,怪盗ジョーカー　解決！世界怪盗ゲームへようこそ！！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
287,9784092311329,95,怪盗ジョーカー　ハチの記憶を取り戻せ！,怪盗ジョーカー　,,怪盗ジョーカー　ハチの記憶を取り戻せ！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
