,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho
108,9784046321862,恐怖コレクター　宿命の再会,２０,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,佐東みどり,4,ＫＡＤＯＫＡＷＡ,42675589,恐怖コレクター,角川つばさ文庫,20221214,3491,,,恐怖コレクター,,,,恐怖コレクター,角川まんが学習シリーズ,角川まんが学習シリーズ
109,9784265081899,いつつごうさぎとゆきのもり,,1076,16,7,1,97,書籍,児童書,絵本,国内絵本,３才〜国内絵本,まつおりかこ,265,岩崎書店,43377202,いつつごうさぎとゆきのもり,,20221207,9321,,,,,,,ちしきのぽけっと,母と子の絵本,
110,9784300104125,自分のあたまで考えるドリル　まず、これから。　小学１・２年生めやす　よみとき・なぞとき・ひらめき,,1076,19,5,1,91,書籍,学習参考書,小学ドリル,小学ドリル,その他ドリル,ｉＭＬ国際算数・数学能力検定協会,300,ＴＡＣ出版事業部,43365197,自分のあたまで考えるドリル　まず、これから。　小学１・２年生めやす　よみとき・なぞとき・ひらめき,,20221027,1090,,,,,,,,,
111,9784284001199,おまもりえほん　こどもぼうはんルールブック,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,国崎信江,284,日本図書センター,43366741,おまもりえほん　こどもぼうはんルールブック,,20221019,2509,,,,,,,,,
112,9784052056444,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事,,1076,16,41,5,22,書籍,児童書,読み物,読み物,５分後に意外な結末シリーズ,桃戸ハル,5,学研プラス,43363324,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事,「５分後に意外な結末」シリーズ,20221215,3948,５分後に意外な結末,,５分後に意外な結末,５分後に意外な結末,５分後に意外な結末,５分後に意外な結末,５分後に意外な結末ｅｘ,５分後に意外な結末,「５分後に意外な結末」シリーズ
113,9784092314467,小説映画ドラえもんのび太と空の理想郷,,1076,16,55,1,19,書籍,児童書,児童文庫,児童文庫,小学館ジュニア文庫,藤子・Ｆ・不二雄,9,小学館,43398271,小説映画ドラえもんのび太と空の理想郷,小学館ジュニア文庫,20230203,2782,小学館ジュニア文庫,,ドラえもん,,,,映画ドラえもん,小学館の図鑑ＮＥＯのクラフトぶっく,小学館の図鑑ＮＥＯのクラフトぶっく
114,9784774738642,メイクアップぬりえ　キュートポップコレクション,,1076,16,15,1,41,書籍,児童書,しかけ絵本,しかけ絵本,ぬりえ,ｍｉｏ,7747,コスミック出版,43380025,メイクアップぬりえ　キュートポップコレクション,［バラエティ］,20221128,3856,,,,,,,,,
115,9784041125694,きょうりゅうかくれんぼ,,1076,16,7,4,1,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,聞かせ屋。けいたろう,4,ＫＡＤＯＫＡＷＡ,43360531,きょうりゅうかくれんぼ,,20221004,8545,,,,,,,,ディズニー_角川アニメ絵本,
116,9784046321756,時間割男子　ヒミツにせまる動物園！,１０,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,一ノ瀬三葉,4,ＫＡＤＯＫＡＷＡ,43100036,時間割男子,角川つばさ文庫,20221214,7212,,,時間割男子,,,,時間割男子,角川まんが学習シリーズ,角川まんが学習シリーズ
117,9784057508412,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット,,1076,16,61,1,65,書籍,児童書,実用百科,実用百科,実験・自由研究,学研の科学編集部,5,学研プラス,43372767,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット,［バラエティ］,20221213,4731,,,,,,,自由研究おたすけキット,自由研究おたすけキット,いきもの最強バラエティー
118,9784099425203,タッチペンでいっぱいあそべる！まいにちのことばずかん１５００　英語つき,,1076,16,11,3,1,書籍,児童書,幼児絵本,知育絵本,知育絵本,小学館辞典編集部,9,小学館,43377756,タッチペンでいっぱいあそべる！まいにちのことばずかん１５００　英語つき,［バラエティ］,20221205,3082,,,,,,,ドラえもん ちずかん,どうぶつ絵本,ポケットモンスター_コミュニティー絵本
119,9784757568204,絵本　おじさまと猫　ふくまるとしあわせの宇宙船,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,桜井海,7575,スクウェア・エニックス,43175894,絵本　おじさまと猫　ふくまるとしあわせの宇宙船,,20221111,1858,,,,,,,,,
120,9784801933798,マインクラフト３つの試練,,1076,16,41,5,15,書籍,児童書,読み物,読み物,中学年読み物,スイー・デイヴィース,8019,竹書房,43366428,マインクラフト３つの試練,,20221216,2528,,,マインクラフト,,,,マインクラフト難破船と人魚の秘密,,
121,9784813780724,この恋は、ぜったいヒミツ。,３,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,このはなさくら,8137,スターツ出版,43205112,この恋は、ぜったいヒミツ。,野いちごジュニア文庫,20221118,1265,,,この恋は、ぜったいヒミツ。,,,,この恋は、ぜったいヒミツ。,,
122,9784046321848,サバイバー！！　豪華客船は再会のとき,４,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,あさばみゆき,4,ＫＡＤＯＫＡＷＡ,43261596,サバイバー！！,角川つばさ文庫,20221109,2213,,,サバイバー！！,,,,サバイバー！！,角川まんが学習シリーズ,角川まんが学習シリーズ
123,9784299036513,東大王からの挑戦！　めざせ子ども東大王　最強クイズ,,1076,16,61,1,11,書籍,児童書,実用百科,実用百科,クイズ・なぞなぞ,ＴＢＳテレビ「東大王」クイズ制作チーム,299,宝島社,43385234,東大王からの挑戦！　めざせ子ども東大王　最強クイズ,,20221212,1570,,,,,,,,,
124,9784046321930,神スキル！！！　キセキの三きょうだい、登場！,,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,大空なつき,4,ＫＡＤＯＫＡＷＡ,43383100,神スキル！！！　キセキの三きょうだい、登場！,角川つばさ文庫,20230112,2091,,,,,,,ぜったいバレちゃいけません！！！,角川まんが学習シリーズ,角川まんが学習シリーズ
125,9784591175682,かいけつゾロリ　きょうりゅうママをすくえ！,,1076,16,41,5,11,書籍,児童書,読み物,読み物,かいけつゾロリシリーズ,原ゆたか,591,ポプラ社,43379327,かいけつゾロリ　きょうりゅうママをすくえ！,かいけつゾロリシリーズ,20221207,11508,ポプラ社の新・小さな童話,,かいけつゾロリ,かいけつゾロリ,かいけつゾロリ,,かいけつゾロリ,かいけつゾロリ,かいけつゾロリ
126,9784866515670,いますぐ名探偵　犯人をさがせ！　ワハハ小学校編,,1076,16,15,1,21,書籍,児童書,しかけ絵本,しかけ絵本,しかけ絵本,桂林ブックス,86651,文響社,43374615,いますぐ名探偵　犯人をさがせ！　ワハハ小学校編,,20221208,1410,,,,,,,名探偵テスとミナ,うんこしかけえほん　うんこＢｏｏｋｓ,
127,9784813780694,願いごとガチャ　願いをかなえるアイテム当たります,,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,Ｓｙｔｒｙ,8137,スターツ出版,43365498,願いごとガチャ　願いをかなえるアイテム当たります,野いちごジュニア文庫,20221020,1350,,,,,,,ウタイテ！,,
128,9784791631902,ミラクルきょうふ！　意味がわかると怖いストーリー,,1076,16,41,5,41,書籍,児童書,読み物,読み物,おばけ・こわい話,朔月糸,7916,西東社,43369786,ミラクルきょうふ！　意味がわかると怖いストーリー,,20221107,3067,,,,,,,ミラクルきょうふ！怖いストーリーＭＥＧＡ,ミラクルきょうふ！本当に怖い話,
129,9784791632008,ゆめがひろがるおんなのこのでんきえほん　全２２話,,1076,16,7,1,21,書籍,児童書,絵本,国内絵本,国内の名作絵本,堀米薫,7916,西東社,43374714,ゆめがひろがるおんなのこのでんきえほん　全２２話,,20221107,2037,,,,,,,おんなのこのめいさくだいすき全２５話,,
