,SHOSINM
111,小学生のうちに覚えておくといいことカルタ
112,プリキュアオールスターズ　さがして！プリキュア
113,ふたごチャレンジ！　ココロ揺らめく遊園地！？
114,英単語ターゲット１９００　Ｂｒｉｇｈｔ　２０２３
115,二条くんはわたしの執事　ダンスパーティーで運命の告白！？
116,共通テスト予想問題パック　２０２３年用
117,青鬼　調査クラブ　怪物を従えた少女と激突せよ！
118,天宮家の王子さま　メイドのわたしのバレンタイン計画！
119,ヴァンパイア・溺愛パラダイス
120,ねこさんのってくださーい　ワクワクがめばえる
121,北辰のかこもん　国語　２０２２年度中３北辰テスト過去問題集
122,花
123,ちいリベ　クリアファイルブック
124,超復刻版　タローマンかるた
125,プリキュアオールスターズプリキュアいっぱいミニずかん
126,キャラぱふぇブックス　ちいかわ　なぞなぞブック
127,戦国姫　徳川家康と運命の姫君たち　於大の方、瀬名姫ほか
128,きみがいるからおもしろい　こんなこいるかな
129,告白したのは、君だから。　かんちがいから始まるホントの恋
130,マインクラフト３つの試練
131,パウ・パトロールをさがせ！
132,学習ドリル　マインクラフトで学ぶプログラミング　小学３・４年
133,図解大事典　ドラゴン
134,ティンクル・セボンスター　アンナと宝石の国の女王様
135,いちねんじゅうおばけずかん　ハロウィンかぼちゃん
136,じゃがりこバスボール　りんごのかおり
137,虹の島のお手紙つき　アメジスト編　大切な気持ち
138,絶望鬼ごっこ　街をとりもどす地獄革命
139,いちねんせいえほん　はじめての「よのなかルールブック」
140,エトワール！　コンテの世界へようこそ！
141,迷宮教室　正解不可能！？　親友をぜったいきらいになるクイズ
142,小学館世界Ｊ文学館
143,ポケモンずかんドリル　小学２年生　かん字
144,いちじくのはなし
145,はたらくくるま
146,すごすぎる天気の図鑑　雲の超図鑑
147,めくってあそぼう！しかけえほん　シナぷしゅ
148,アニメおさるのジョージ　わくわく　ドキドキ　すごろく
149,きゅん恋？あこがれ両想い　５つ
150,チャート式基礎からの数学２＋Ｂ　新課程
151,ＨＩＭＡＷＡＲＩちゃんねる　まーちゃん＆おーちゃんをさがせ！！
152,２０２３年入試用重大ニュース　時事問題に強くなる本　中学・高校入試
153,プリンセス・スノーとユニコーン
154,サイレンカー　だいずかん　６５ピース
155,ぐいーん！　こうしょさぎょうしゃ
156,だいすきだよ　きょうも　いつまでも
157,きょうりゅうかくれんぼ
158,時間割男子　ヒミツにせまる動物園！
159,ポケモンずかんドリル　小学２年生　たし算・ひき算
160,ちいかわえほん　おつかれラーメン
161,理花のおかしな実験室　ふくらむナゾの答えをさがせ！
162,まいぜんシスターズのまちがいさがしＢＯＯＫ
163,ウルトラヒーローｖｓ．ウルトラかいじゅう　だいけっとう！　マグネットＢＯＸ
164,明解歴史総合図説シンフォニア初訂版
165,妖怪捕物帖乙　冥界彷徨篇　無間地獄は阿鼻の闇４
166,海色ダイアリー　五つ子アイドルもワクワク！　結亜と四季のファッションショー
167,大きなパンダと小さなドラゴン
168,ふしぎ駄菓子屋　銭天堂
169,どっちが強い！？からだレスキュー　免疫バトル編
170,渚くんをお兄ちゃんとは呼ばない　〜これからも大好き〜
171,るるぶマンガとクイズで楽しく学ぶ！宇宙
172,映画ドラえもん　のび太と空の理想郷シールおあそびえほん
173,ドラゴンドリル　小４計算のまき　どんどん進めたくなる！めざせ！小４の計算マスター
174,ひろがるスカイ！プリキュア　ひらがなカタカナドリル
175,こども歳時記かるた
176,絶対好きにならない同盟　〜初恋の人と今、好きな人〜
177,北辰のかこもん　理科　２０２２年度中３北辰テスト過去問題集
178,しょうぼうしゃしゅつどう！　たのしいしかけえほん
179,ポケモンずかんドリル　小学２年生　かけ算
180,女の子おりがみ
181,くるくるまわる！ビーだまビッグコースター
182,ウタイテ！
183,いないいないばあっ！　おうたで　わーい！
184,妖怪最強王図鑑フィギュア
185,総長さま、溺愛中につき。（仮）
186,ひろがるスカイ！プリキュア　こうさくドリル
187,学校では教えてくれない大切なこと　デザインのすごい力
188,四つ子ぐらし　四ツ橋家で勝負の時！
189,いますぐ名探偵　犯人をさがせ！　ワハハ小学校編
190,ドラゴン超絶バトル大図鑑
191,高校入試　１５時間完成　英語長文【実戦】
192,にじいろフェアリーしずくちゃん　７つのストーンのひみつ
193,マンガでわかる！　１０才までに覚えたい百人一首
194,人狼サバイバル　暗中模索！　小学校の人狼ゲーム
195,星のカービィ　まんぷく、まんまる、グルメフェス！
196,人類の物語　Ｕｎｓｔｏｐｐａｂｌｅ　Ｕｓ　ヒトはこうして地球の支配者になった
197,でるでる！おばけちゃん
198,本当はこわい話　明かされる真実、君は気づけた？
199,数学重要問題集ー数学１・２・３・Ａ・Ｂ（理系）　実戦２０２３
200,鬼滅の刃　キメツ学園！　全集中ドリル　炎の呼吸編
